#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
1,Bitcoin,BTC,63.23 조,3628850,17.42 백만,4.64 조,-0.30%,-2.98%,-6.36%
2,XRP,XRP,13.23 조,323.16,40.93 십억*,361.09 십억,-0.47%,-3.36%,-5.92%
3,Ethereum,ETH,9.83 조,94691.62,103.81 백만,1.79 조,-0.21%,-3.17%,-7.04%
4,Tether,USDT,2.11 조,1134.47,1.86 십억*,2.98 조,-0.02%,-0.10%,-0.84%
5,Stellar,XLM,2.07 조,107.96,19.15 십억*,95.85 십억,-0.50%,-7.74%,-18.74%
6,EOS,EOS,1.88 조,2072.82,906.25 백만*,619.80 십억,-0.06%,-1.10%,5.04%
7,Litecoin,LTC,1.59 조,26626.12,59.58 백만,359.93 십억,-0.13%,0.15%,-4.57%
8,Bitcoin Cash,BCH,1.51 조,86334.10,17.51 백만,92.56 십억,-1.54%,-9.83%,-25.45%
9,Bitcoin SV,BSV,1.34 조,76589.51,17.51 백만,70.71 십억,-2.83%,-11.29%,-32.83%
10,TRON,TRX,951.35 십억,14.31,66.46 십억,59.90 십억,-0.42%,-3.00%,-4.43%
11,Cardano,ADA,823.19 십억,31.75,25.93 십억*,11.18 십억,-0.13%,-2.89%,-5.77%
12,Monero,XMR,722.67 십억,43411.36,16.65 백만,15.89 십억,-0.35%,-9.04%,-16.55%
13,IOTA,MIOTA,667.08 십억,240.00,2.78 십억*,7.85 십억,-0.34%,-1.42%,-7.32%
14,Binance Coin,BNB,664.88 십억,5083.17,130.80 백만*,13.23 십억,-1.70%,-4.54%,-0.97%
15,NEM,XEM,585.70 십억,65.08,9.00 십억*,11.52 십억,-3.60%,-10.28%,-19.05%
16,Dash,DASH,563.58 십억,66252.42,8.51 백만,111.90 십억,-0.52%,-3.86%,-12.71%
17,Ethereum Classic,ETC,436.81 십억,4090.70,106.78 백만,102.52 십억,0.71%,-3.62%,-4.06%
18,NEO,NEO,408.47 십억,6284.10,65.00 백만*,78.60 십억,-0.19%,-1.75%,-7.42%
19,Zcash,ZEC,302.07 십억,55371.32,5.46 백만,117.56 십억,-0.27%,-3.96%,-14.91%
20,Waves,WAVES,278.57 십억,2785.72,100.00 백만*,37.26 십억,-1.09%,0.25%,62.56%
21,Maker,MKR,277.57 십억,381161,728.23 천*,137.46 백만,0.57%,-2.47%,0.92%
22,Dogecoin,DOGE,276.38 십억,2.35,117.42 십억,16.50 십억,-0.07%,0.16%,-0.80%
23,Tezos,XTZ,262.56 십억,432.21,607.49 백만*,1.45 십억,-0.10%,1.14%,0.39%
24,TrueUSD,TUSD,243.45 십억,1149.18,211.84 백만*,35.75 십억,-0.03%,-0.02%,0.08%
25,USD Coin,USDC,232.06 십억,1149.79,201.82 백만*,9.59 십억,0.13%,-0.28%,0.21%
