#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
26,Bitcoin Gold,BTG,208.14 십억,11965.60,17.39 백만,4.01 십억,-0.45%,-5.99%,-13.96%
27,VeChain,VET,207.92 십억,3.75,55.45 십억*,3.84 십억,-0.27%,-4.99%,-14.90%
28,Paxos Standar...,PAX,175.34 십억,1139.16,153.92 백만 *,62.26 십억,0.07%,-0.02%,-0.45%
29,Basic Attenti...,BAT,174.46 십억,143.25,1.22 십억*,5.23 십억,-1.49%,-4.64%,-5.42%
30,OmiseGO,OMG,173.48 십억,1236.96,140.25 백만*,33.28 십억,0.16%,-5.23%,-14.18%
31,Qtum,QTUM,166.27 십억,1865.93,89.11 백만*,84.94 십억,-0.87%,-5.39%,5.43%
32,0x,ZRX,165.22 십억,299.36,551.92 백만*,12.48 십억,-1.34%,-9.80%,-16.70%
33,Decred,DCR,146.44 십억,16299.82,8.98 백만,1.70 십억,-0.51%,-7.82%,-14.40%
34,Ontology,ONT,145.60 십억,500.15,291.12 백만*,8.91 십억,-1.76%,-11.16%,-18.69%
35,Lisk,LSK,143.51 십억,1269.68,113.03 백만*,3.04 십억,-0.02%,-1.50%,-6.65%
36,Bitcoin Diamond,BCD,129.58 십억,842.75,153.76 백만,4.89 십억,-1.69%,-2.00%,5.54%
37,Zilliqa,ZIL,115.44 십억,14.32,8.06 십억*,3.58 십억,-0.24%,-3.07%,-7.17%
38,Nano,NANO,112.21 십억,842.14,133.25 백만*,1.46 십억,-0.43%,-5.59%,-12.17%
39,BitShares,BTS,106.49 십억,39.75,2.68 십억*,2.40 십억,-0.44%,-3.50%,-3.90%
40,Bytecoin,BCN,104.90 십억,0.569905,184.07 십억,254.05 백만,-1.12%,-4.65%,-15.82%
41,DigiByte,DGB,100.91 십억,9.02,11.18 십억,1.03 십억,-1.51%,0.73%,-18.66%
42,ICON,ICX,99.34 십억,209.84,473.41 백만*,4.75 십억,-0.82%,-4.25%,-11.59%
43,Aurora,AOA,96.86 십억,14.80,6.54 십억*,478.30 백만,-0.46%,-2.05%,-11.26%
44,Gemini Dollar,GUSD,95.80 십억,1104.54,86.73 백만*,21.32 십억,-0.29%,-2.62%,-3.96%
45,Siacoin,SC,95.03 십억,2.47,38.44 십억,579.85 백만,0.15%,-2.90%,-8.66%
46,Verge,XVG,94.28 십억,6.21,15.17 십억,2.21 십억,-1.20%,-1.80%,-7.91%
47,Aeternity,AE,87.78 십억,376.70,233.02 백만*,5.00 십억,-0.92%,-4.37%,-11.89%
48,Pundi X,NPXS,81.47 십억,0.527464,154.46 십억*,799.23 백만,-1.08%,-4.21%,-11.82%
49,Chainlink,LINK,80.21 십억,229.19,350.00 백만*,1.65 십억,-0.57%,-3.14%,-8.41%
50,Bytom,BTM,77.85 십억,77.66,1.00 십억,1.77 십억,0.13%,-2.75%,2.62%
51,QASH,QASH,77.17 십억,220.48,350.00 백만*,439.95 백만,0.25%,0.03%,-6.22%
52,Steem,STEEM,74.94 십억,247.51,302.76 백만*,688.28 백만,-1.47%,-5.71%,-10.29%
53,Factom,FCT,72.23 십억,8259.89,8.75 백만*,1.43 십억,-1.79%,-10.45%,-48.66%
54,Augur,REP,70.13 십억,6375.27,11.00 백만*,1.81 십억,-1.43%,-11.18%,-9.09%
55,Komodo,KMD,66.22 십억,596.61,111.00 백만,327.49 백만,-1.26%,-3.86%,-4.22%
56,Stratis,STRAT,65.25 십억,658.16,99.13 백만*,799.11 백만,-0.57%,0.52%,-8.16%
57,Populous,PPT,64.97 십억,1220.02,53.25 백만*,1.12 십억,-0.35%,-4.69%,-15.81%
58,MaidSafeCoin,MAID,64.44 십억,142.39,452.55 백만*,253.71 백만,-0.24%,-4.08%,-9.49%
59,Holo,HOT,62.87 십억,0.471982,133.21 십억*,966.99 백만,-0.44%,-2.75%,-9.14%
60,Dai,DAI,62.25 십억,1154.71,53.91 백만*,4.27 십억,-0.27%,0.26%,0.45%
61,Golem,GNT,60.45 십억,62.98,959.84 백만*,1.25 십억,-0.03%,-7.54%,-14.88%
62,Electroneum,ETN,59.84 십억,7.01,8.54 십억,238.51 백만,0.07%,-2.26%,-3.42%
63,Cryptonex,CNX,59.51 십억,1070.35,55.59 백만,5.42 십억,0.34%,-2.79%,-6.66%
64,Revain,R,59.44 십억,122.70,484.45 백만*,3.03 십억,-1.36%,0.39%,-20.87%
65,Huobi Token,HT,59.29 십억,1185.75,50.00 백만*,4.05 십억,-0.31%,-1.20%,-4.22%
66,DEX,DEX,54.52 십억,284.63,191.54 백만*,470.71 백만,-0.73%,-3.37%,102.10%
67,Status,SNT,53.42 십억,15.39,3.47 십억*,3.17 십억,0.06%,-2.04%,-8.47%
68,Ardor,ARDR,52.47 십억,52.52,999.00 백만*,152.45 백만,0.35%,-2.84%,-10.89%
69,Bitcoin Private,BTCP,52.34 십억,2550.12,20.52 백만,57.36 백만,-0.09%,-7.38%,27.15%
70,Decentraland,MANA,50.69 십억,48.27,1.05 십억*,3.06 십억,-0.29%,-8.36%,-23.69%
71,IOST,IOST,50.15 십억,4.18,12.00 십억*,2.53 십억,-0.38%,-3.06%,-7.29%
72,TenX,PAY,48.72 십억,426.09,114.35 백만*,708.33 백만,0.30%,2.74%,55.37%
73,Insight Chain,INB,48.02 십억,289.40,165.92 백만*,1.76 십억,0.23%,-0.64%,1.61%
74,KuCoin Shares,KCS,47.64 십억,528.48,90.14 백만*,81.26 백만,-0.74%,-2.90%,-6.15%
75,Polymath,POLY,44.34 십억,154.55,286.89 백만*,3.27 십억,0.08%,5.74%,20.81%
76,Waltonchain,WTC,40.83 십억,1011.41,40.37 백만*,2.45 십억,-0.01%,-3.52%,-1.82%
77,Linkey,LKY,40.15 십억,803.03,50.00 백만*,81.54 백만,-0.31%,-2.73%,1.79%
78,Elastos,ELA,39.69 십억,2776.95,14.29 백만,802.39 백만,-0.47%,-3.55%,-1.93%
79,WAX,WAX,39.55 십억,42.26,935.84 백만*,647.32 백만,0.23%,-6.07%,-31.50%
80,Nexo,NEXO,39.39 십억,70.35,560.00 백만*,1.64 십억,-0.13%,-2.73%,-15.13%
81,ODEM,ODE,39.14 십억,179.56,218.00 백만*,743.21 백만,2.31%,-4.15%,-18.99%
82,STASIS EURS,EURS,38.84 십억,1278.48,30.38 백만*,351.72 백만,-0.09%,0.36%,0.30%
83,Metaverse ETP,ETP,38.57 십억,711.17,54.23 백만,2.29 십억,-1.79%,-2.47%,-10.87%
84,QuarkChain,QKC,37.18 십억,46.38,801.65 백만*,4.56 십억,-0.43%,1.52%,-1.73%
85,Ark,ARK,36.92 십억,344.93,107.03 백만*,204.90 백만,-0.17%,-0.53%,-4.23%
86,MobileGo,MGO,35.46 십억,354.57,100.00 백만*,9.16 십억,-0.99%,-16.38%,-37.41%
87,Dentacoin,DCN,34.80 십억,0.106467,326.82 십억*,32.23 백만,0.65%,-6.99%,16.09%
88,Wanchain,WAN,34.09 십억,321.10,106.15 백만*,1.44 십억,-1.67%,-5.51%,-14.75%
89,Aion,AION,34.01 십억,128.21,265.29 백만,1.36 십억,-0.12%,-1.92%,-12.08%
90,Mithril,MITH,33.38 십억,68.59,486.63 백만*,12.71 십억,-0.89%,-9.39%,-18.52%
91,HyperCash,HC,33.37 십억,766.64,43.53 백만,19.57 십억,-2.56%,-0.67%,11.58%
92,Ravencoin,RVN,33.30 십억,13.52,2.46 십억,1.24 십억,-0.36%,-5.09%,-10.11%
93,Bancor,BNT,32.39 십억,533.59,60.70 백만*,861.50 백만,-0.21%,-4.31%,-10.59%
94,THETA,THETA,32.38 십억,45.83,706.50 백만*,442.93 백만,0.10%,-3.50%,-13.29%
95,ReddCoin,RDD,31.86 십억,1.11,28.81 십억*,312.31 백만,-2.33%,-7.30%,-16.04%
96,aelf,ELF,31.36 십억,111.98,280.00 백만*,3.53 십억,-0.70%,-2.97%,-6.75%
97,GXChain,GXS,31.31 십억,521.86,60.00 백만*,9.12 십억,-0.09%,-4.25%,-8.58%
98,PIVX,PIVX,30.89 십억,544.02,56.78 백만*,128.80 백만,-0.24%,-4.25%,-18.69%
99,Mixin,XIN,30.40 십억,68334.51,444.92 천*,3.31 백만,-0.30%,-6.21%,1.46%
100,Crypto.com,MCO,29.90 십억,1893.28,15.79 백만*,5.26 십억,-0.63%,-4.61%,-14.30%
101,Loopring,LRC,28.95 십억,36.69,788.98 백만*,271.45 백만,-1.27%,-5.88%,-8.26%
102,MOAC,MOAC,28.40 십억,454.66,62.46 백만*,24.58 백만,2.09%,-5.09%,-38.74%
103,DigixDAO,DGD,28.25 십억,14125.28,2.00 백만*,179.54 백만,-0.15%,-4.00%,-9.56%
104,Zcoin,XZC,27.93 십억,4850.51,5.76 백만,388.76 백만,0.67%,-7.18%,-16.96%
105,Power Ledger,POWR,27.52 십억,70.32,391.38 백만*,814.03 백만,-0.42%,-3.32%,-8.62%
106,Nxt,NXT,27.47 십억,27.50,999.00 백만*,449.94 백만,-0.34%,-4.80%,-10.95%
107,Syscoin,SYS,27.31 십억,50.11,545.00 백만,5.38 십억,1.40%,-2.58%,35.10%
108,Loom Network,LOOM,27.22 십억,44.94,605.86 백만*,1.01 십억,2.53%,-0.33%,-14.98%
109,ProximaX,XPX,27.08 십억,4.44,6.10 십억*,1.67 십억,-0.27%,-5.95%,-0.14%
110,XYO Network,XYO,26.82 십억,4.82,5.56 십억*,125.77 백만,2.07%,14.42%,-16.15%
111,Centrality,CENNZ,26.77 십억,33.40,801.38 백만*,17.19 백만,-0.37%,-2.36%,-13.06%
112,Digitex Futures,DGTX,26.64 십억,36.42,731.25 백만*,387.50 백만,-0.34%,-2.48%,-2.89%
113,Nectar,NEC,26.48 십억,321.59,82.35 백만*,2.97 백만,-0.11%,9.31%,0.22%
114,Veritaseum,VERI,26.11 십억,12818.79,2.04 백만*,1.58 십억,0.96%,3.69%,-3.32%
115,Horizen,ZEN,25.76 십억,4793.88,5.37 백만,263.53 백만,-0.58%,-3.58%,-10.60%
116,WaykiChain,WICC,25.67 십억,122.26,210.00 백만*,131.74 백만,-0.04%,-3.98%,-3.42%
117,MonaCoin,MONA,25.59 십억,397.60,64.37 백만,436.50 백만,-0.68%,-6.07%,-30.98%
118,Nebulas,NAS,25.33 십억,556.69,45.50 백만*,1.04 십억,-0.32%,-4.12%,-14.14%
119,BOScoin,BOS,24.18 십억,52.93,456.84 백만*,47.21 백만,0.56%,-0.72%,-6.46%
120,Kin,KIN,24.01 십억,0.031758,756.10 십억*,402.49 백만,0.12%,-9.76%,7.90%
121,Enjin Coin,ENJ,23.79 십억,31.25,761.16 백만*,748.11 백만,-0.20%,-0.39%,4.18%
122,Eidoo,EDO,22.75 십억,777.45,29.26 백만*,422.64 백만,-0.25%,-1.72%,7.85%
123,Endor Protocol,EDR,22.36 십억,32.61,685.81 백만*,499.88 백만,-1.69%,-23.45%,-17.57%
124,FunFair,FUN,21.87 십억,3.93,5.57 십억*,748.76 백만,-0.31%,-5.25%,-13.17%
125,Byteball Bytes,GBYTE,21.83 십억,32144.79,679.01 천*,10.97 백만,0.68%,-3.63%,0.94%
126,Smartlands,SLT,21.30 십억,4175.34,5.10 백만*,1.00 십억,-0.85%,-6.61%,-16.87%
127,Nasdacoin,NSD,21.02 십억,1112.92,18.89 백만,119.34 백만,-0.73%,-8.13%,-23.22%
128,Spectre.ai Di...,SXDT,20.98 십억,255.68,82.07 백만*,32.85 백만,-0.24%,4.54%,-3.98%
129,ARBITRAGE,ARB,20.53 십억,4709.99,4.36 백만*,159.79 백만,4.11%,94.22%,67.93%
130,CyberMiles,CMT,20.33 십억,25.41,800.00 백만*,594.52 백만,-0.66%,-5.66%,-15.15%
131,Maximine Coin,MXM,20.02 십억,12.29,1.63 십억*,741.07 백만,0.35%,-0.84%,-2.18%
132,SingularityNET,AGI,19.96 십억,36.98,539.67 백만*,325.64 백만,-0.72%,-6.86%,-14.50%
133,SmartCash,SMART,19.18 십억,18.21,1.05 십억,776.89 백만,-0.24%,-22.21%,4.69%
134,SIRIN LABS Token,SRN,19.03 십억,38.69,491.82 백만*,843.09 백만,-0.40%,-7.57%,-27.76%
135,Bibox Token,BIX,18.99 십억,181.91,104.38 백만*,529.54 백만,-0.38%,-5.32%,-6.78%
136,SALT,SALT,18.72 십억,231.81,80.73 백만*,1.26 십억,1.53%,7.92%,-2.31%
137,Swarm,SWM,18.70 십억,271.62,68.83 백만*,201.30 백만,2.26%,25.32%,113.82%
138,Civic,CVC,18.46 십억,53.87,342.70 백만*,588.89 백만,-0.32%,-4.14%,-15.39%
139,Gas,GAS,18.28 십억,1805.05,10.13 백만*,180.36 백만,-0.43%,-2.74%,-9.03%
140,Nuls,NULS,18.22 십억,455.47,40.00 백만*,3.75 십억,-1.02%,-5.60%,2.84%
141,Enigma,ENG,18.08 십억,241.56,74.84 백만*,290.96 백만,-0.46%,-6.20%,-16.35%
142,Kyber Network,KNC,18.03 십억,134.41,134.13 백만*,1.37 십억,-0.01%,-1.12%,-10.45%
143,Storj,STORJ,17.84 십억,131.42,135.79 백만*,874.93 백만,-0.05%,-3.40%,-8.62%
144,Dragonchain,DRGN,17.84 십억,74.82,238.42 백만*,280.66 백만,-0.99%,-2.90%,-11.01%
145,Genesis Vision,GVT,17.31 십억,3910.90,4.43 백만*,2.08 십억,1.60%,18.36%,-0.42%
146,Dynamic Tradi...,DTR,17.24 십억,14.16,1.22 십억*,786.88 천,-1.41%,0.90%,-2.65%
147,Credits,CS,17.10 십억,112.17,152.43 백만*,1.51 십억,-1.94%,0.29%,4.29%
148,Moeda Loyalty...,MDA,17.05 십억,868.71,19.63 백만*,4.76 십억,3.78%,7.97%,20.87%
149,Substratum,SUB,16.93 십억,44.19,383.02 백만*,176.49 백만,-0.08%,0.79%,-13.44%
150,Bread,BRD,16.88 십억,190.18,88.73 백만*,45.93 백만,0.49%,-3.55%,-12.24%
151,PumaPay,PMA,16.67 십억,0.796906,20.92 십억*,968.49 백만,-0.34%,2.05%,-7.57%
152,Pillar,PLR,16.35 십억,63.04,259.35 백만*,28.62 백만,-0.18%,-10.72%,40.84%
153,Veros,VRS,16.33 십억,296.69,55.04 백만*,1.58 십억,-1.11%,22.12%,351.84%
154,Iconomi,ICN,16.24 십억,164.12,98.93 백만*,1.29 백만,1.19%,-5.00%,-9.43%
155,Dent,DENT,16.23 십억,0.941257,17.24 십억*,562.99 백만,-0.36%,-5.81%,-8.98%
156,GoChain,GO,16.13 십억,24.64,654.68 백만*,730.03 백만,-0.57%,-6.81%,-11.42%
157,Unobtanium,UNO,16.02 십억,80245.24,199.66 천,23.38 백만,-0.33%,1.45%,2.19%
158,Nexus,NXS,15.96 십억,267.31,59.71 백만,137.63 백만,-0.80%,-4.10%,-2.07%
159,Groestlcoin,GRS,15.76 십억,220.41,71.51 백만,279.19 백만,-2.07%,-7.46%,-14.74%
160,Cortex,CTXC,15.67 십억,104.62,149.79 백만*,1.98 십억,0.57%,-5.15%,-9.45%
161,OneRoot Network,RNT,15.64 십억,57.33,272.73 백만*,147.51 백만,-3.88%,-4.70%,6.83%
162,Request Network,REQ,15.60 십억,21.38,729.66 백만*,151.26 백만,-1.29%,-4.63%,-9.05%
163,Tokenomy,TEN,15.46 십억,77.29,200.00 백만*,518.80 백만,0.07%,-6.50%,-11.64%
164,Fusion,FSN,15.20 십억,511.84,29.70 백만*,385.03 백만,-0.40%,7.58%,-30.13%
165,Optimal Shelf...,OSA,14.74 십억,46.26,318.57 백만*,1.32 십억,1.81%,1.10%,-4.26%
166,Peercoin,PPC,14.34 십억,571.38,25.09 백만,152.79 백만,-1.47%,-3.36%,-10.51%
167,Dropil,DROP,14.08 십억,0.638408,22.05 십억*,18.88 백만,0.66%,-22.95%,-46.54%
168,Telcoin,TEL,14.04 십억,0.402258,34.90 십억*,41.03 백만,-2.57%,-3.46%,-7.50%
169,Particl,PART,14.02 십억,1737.90,8.07 백만*,58.78 백만,3.46%,10.46%,-18.79%
170,BnkToTheFuture,BFT,13.98 십억,22.20,629.99 백만*,60.56 백만,-0.75%,3.43%,9.93%
171,Emercoin,EMC,13.95 십억,331.16,42.12 백만,95.68 백만,-0.44%,-0.34%,-4.27%
172,Neblio,NEBL,13.92 십억,1006.34,13.83 백만*,111.75 백만,0.53%,-4.26%,-3.35%
173,Santiment Net...,SAN,13.78 십억,219.98,62.66 백만*,422.32 백만,0.00%,0.10%,2.08%
174,iExec RLC,RLC,13.76 십억,171.89,80.07 백만*,272.94 백만,-0.52%,-5.80%,-14.46%
175,BridgeCoin,BCO,13.57 십억,502.55,27.00 백만*,40.29 백만,-8.64%,-10.30%,33.03%
176,THEKEY,TKY,13.43 십억,2.65,5.06 십억*,154.37 백만,0.01%,3.17%,-22.68%
177,PRIZM,PZM,13.38 십억,193.72,69.08 백만*,7.64 백만,-3.54%,2.82%,-21.07%
178,APIS,APIS,13.24 십억,2.72,4.87 십억*,3.44 십억,-0.36%,-2.62%,-9.07%
179,Cindicator,CND,13.06 십억,9.03,1.45 십억*,55.30 백만,-3.88%,-8.33%,-18.09%
180,ETERNAL TOKEN,XET,13.05 십억,192.18,67.93 백만*,89.32 백만,-2.97%,-9.61%,-15.29%
181,TokenClub,TCT,13.01 십억,27.03,481.43 백만*,81.65 백만,0.07%,2.02%,9.83%
182,Gnosis,GNO,12.99 십억,11756.20,1.10 백만*,547.75 백만,-0.21%,14.78%,-23.11%
183,Energi,NRG,12.96 십억,1192.14,10.87 백만,11.59 백만,-0.55%,-4.98%,-20.18%
184,Republic Prot...,REN,12.78 십억,20.41,626.28 백만*,1.03 십억,-1.17%,-7.55%,-26.21%
185,Storm,STORM,12.76 십억,2.79,4.57 십억*,261.01 백만,0.16%,-4.27%,-13.50%
186,DMarket,DMT,12.67 십억,252.33,50.22 백만*,563.56 백만,-0.26%,-5.74%,3.02%
187,Neumark,NEU,12.65 십억,274.23,46.13 백만*,5.73 백만,-0.26%,-16.20%,-7.41%
188,Gifto,GTO,12.57 십억,23.63,531.82 백만*,3.38 십억,0.98%,-4.05%,-5.41%
189,Vertcoin,VTC,12.55 십억,265.26,47.30 백만,90.06 백만,3.73%,-1.86%,-4.52%
190,Mainframe,MFT,12.44 십억,2.81,4.43 십억*,524.68 백만,-0.97%,-6.19%,-17.07%
191,CRYPTO20,C20,12.37 십억,307.60,40.23 백만*,8.44 백만,0.48%,-6.45%,-10.89%
192,Odyssey,OCN,12.17 십억,2.56,4.75 십억*,931.40 백만,-3.07%,-9.05%,-25.63%
193,STACS,STACS,12.16 십억,25.32,480.20 백만* ,127.69 백만,-0.56%,1.35%,10.92%
194,IoTeX,IOTX,12.05 십억,7.90,1.53 십억*,1.44 십억,0.36%,-1.40%,-2.61%
195,Breezecoin,BRZC,12.00 십억,305.44,39.28 백만*,3.76 백만,-0.46%,35.29%,23.93%
196,Ignis,IGNIS,11.93 십억,15.67,761.14 백만*,24.19 백만,0.00%,-3.16%,-16.36%
197,NavCoin,NAV,11.90 십억,186.64,63.76 백만*,4.03 십억,-1.65%,32.19%,26.49%
198,Quant,QNT,11.90 십억,1216.65,9.78 백만*,1.37 십억,-0.20%,0.04%,-24.81%
199,Po.et,POE,11.65 십억,4.82,2.42 십억*,493.80 백만,-1.09%,-4.90%,-13.00%
200,TokenPay,TPAY,11.64 십억,740.77,15.71 백만*,294.23 백만,-1.28%,-6.11%,-15.27%
201,TrueChain,TRUE,11.56 십억,248.90,46.45 백만*,15.57 십억,-0.83%,-1.44%,1.09%
202,Cube,AUTO,11.55 십억,1.70,6.77 십억*,1.05 십억,-0.31%,-5.39%,1.67%
203,Everipedia,IQ,11.53 십억,2.56,4.51 십억*,60.20 백만,1.09%,-2.03%,-3.56%
204,Wagerr,WGR,11.53 십억,63.01,183.00 백만*,8.33 백만,-1.81%,-11.10%,-16.51%
205,Vitae,VITAE,11.47 십억,1068.35,10.74 백만,13.23 백만,-0.86%,-9.27%,-17.61%
206,Streamr DATAcoin,DATA,11.41 십억,16.85,677.15 백만*,402.53 백만,-0.60%,-2.59%,-11.01%
207,Scry.info,DDD,11.40 십억,25.91,440.06 백만*,236.86 백만,-0.25%,-2.91%,-10.85%
208,Aragon,ANT,11.33 십억,389.45,29.10 백만*,107.18 백만,-0.12%,-4.47%,-22.95%
209,AMO Coin,AMO,11.17 십억,1.25,8.97 십억*,170.04 백만,0.11%,-4.26%,-8.08%
210,Noah Coin,NOAH,11.05 십억,0.337921,32.69 십억*,129.01 백만,-0.83%,-4.12%,-15.17%
211,Matrix AI Net...,MAN,10.98 십억,73.18,150.00 백만*,620.62 백만,-0.59%,-3.16%,-6.06%
212,OST,OST,10.76 십억,23.63,455.48 백만*,268.36 백만,-0.31%,-8.00%,-5.01%
213,ZrCoin,ZRC,10.76 십억,2730.37,3.94 백만*,33.09 백만,-0.97%,2.10%,26.48%
214,Gulden,NLG,10.73 십억,25.85,415.03 백만,21.41 백만,0.38%,-0.26%,1.64%
215,Buggyra Coin ...,BCZERO,10.70 십억,6.38,1.68 십억*,9.07 백만,-0.30%,-8.33%,72.19%
216,Skycoin,SKY,10.58 십억,961.38,11.00 백만*,214.38 백만,-0.22%,-3.67%,-6.13%
217,MediBloc [ERC20],MEDX,10.53 십억,3.32,3.17 십억*,1.33 십억,-2.03%,-10.66%,10.26%
218,UTRUST,UTK,10.50 십억,23.32,450.00 백만*,47.81 백만,-0.24%,-5.42%,-1.82%
219,Bezant,BZNT,10.38 십억,20.67,502.15 백만*,672.68 백만,3.04%,-18.61%,-21.96%
220,Darico Ecosys...,DEC,10.27 십억,199.25,51.54 백만*,182.63 백만,-4.90%,-27.29%,-17.01%
221,TomoChain,TOMO,10.26 십억,187.86,54.63 백만*,449.21 백만,-0.34%,-2.20%,7.66%
222,WhiteCoin,XWC,10.22 십억,40.84,250.18 백만*,111.31 백만,0.13%,-0.65%,-8.62%
223,Safe Exchange...,SAFEX,10.12 십억,6.56,1.54 십억*,2.43 백만,-1.69%,-2.37%,-9.30%
224,Moss Coin,MOC,10.06 십억,46.63,215.74 백만*,72.45 백만,-0.07%,-1.68%,14.12%
225,Genaro Network,GNX,10.03 십억,16.89,593.71 백만,206.42 백만,0.88%,-8.48%,-25.57%
226,Ubiq,UBQ,9.89 십억,232.09,42.61 백만,40.69 백만,-0.54%,-1.19%,-17.83%
227,SaluS,SLS,9.87 십억,9758.05,1.01 백만*,9.38 백만,-1.59%,-2.44%,-11.49%
228,RChain,RHOC,9.87 십억,26.40,373.79 백만*,173.38 백만,0.09%,-17.85%,-30.29%
229,SmartMesh,SMT,9.68 십억,6.85,1.41 십억*,46.89 백만,-0.18%,-0.20%,0.93%
230,Einsteinium,EMC2,9.68 십억,44.37,218.06 백만,132.74 백만,-1.26%,-9.26%,-21.47%
231,High Performa...,HPB,9.63 십억,253.37,38.02 백만*,1.49 십억,-0.57%,-3.76%,-10.30%
232,Nucleus Vision,NCASH,9.63 십억,1.74,5.54 십억*,210.37 백만,0.18%,-4.59%,-11.30%
233,Quantum Resis...,QRL,9.32 십억,179.15,52.00 백만*,18.86 백만,-0.43%,-2.34%,-7.20%
234,BLOCKv,VEE,9.27 십억,3.97,2.33 십억*,16.60 백만,0.68%,2.96%,6.65%
235,Raiden Networ...,RDN,9.15 십억,182.14,50.22 백만*,634.46 백만,-0.85%,-5.63%,-16.85%
236,bitCNY,BITCNY,9.02 십억,167.13,53.95 백만*,22.83 십억,0.33%,1.26%,-1.87%
237,MediBloc [QRC20],MED,8.97 십억,3.02,2.97 십억*,21.69 백만,0.29%,4.74%,9.79%
238,Ambrosus,AMB,8.86 십억,61.25,144.59 백만*,1.75 십억,0.24%,-2.27%,-6.00%
239,Own,CHX,8.74 십억,120.22,72.68 백만*,264.34 백만,0.99%,7.94%,4.59%
240,Ethos,ETHOS,8.73 십억,99.73,87.58 백만*,270.47 백만,0.27%,2.31%,-1.94%
241,Burst,BURST,8.73 십억,4.35,2.01 십억,147.55 백만,-2.32%,-12.88%,-32.46%
242,E-Dinar Coin,EDR,8.70 십억,9.82,886.21 백만,1.44 십억,-0.45%,-2.32%,-6.21%
243,Cryptaur,CPT,8.62 십억,1.17,7.35 십억*,6.35 백만,-0.34%,-2.90%,-8.81%
244,COSS,COSS,8.62 십억,72.53,118.81 백만*,123.20 백만,-0.47%,-2.63%,37.29%
245,Blocknet,BLOCK,8.61 십억,1573.01,5.48 백만*,13.24 백만,-0.36%,-4.30%,-15.07%
246,Bluzelle,BLZ,8.60 십억,43.11,199.38 백만*,333.60 백만,-0.52%,-5.95%,-20.25%
247,Wowbit,WWB,8.47 십억,30.51,277.78 백만*,112.84 백만,-1.17%,2.65%,-15.58%
248,ETHLend,LEND,8.45 십억,7.68,1.10 십억*,235.08 백만,-1.53%,1.07%,1.12%
249,Quantstamp,QSP,8.35 십억,13.53,617.31 백만*,97.30 백만,-1.65%,-6.26%,-14.39%
