#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
20,Maker,MKR,281.45 십억,386486,728.23 천*,37.50 백만,-0.01%,0.57%,-1.84%
21,Dogecoin,DOGE,280.76 십억,2.39,117.42 십억,17.01 십억,0.00%,2.01%,0.07%
22,Waves,WAVES,277.87 십억,2778.72,100.00 백만*,38.65 십억,0.63%,1.49%,51.44%
23,Tezos,XTZ,268.37 십억,441.76,607.49 백만*,1.44 십억,0.38%,2.33%,-5.29%
24,TrueUSD,TUSD,243.83 십억,1150.99,211.84 백만*,44.27 십억,0.03%,0.13%,-0.73%
25,USD Coin,USDC,231.47 십억,1146.97,201.81 백만*,15.91 십억,-0.10%,-0.14%,-1.16%
26,Bitcoin Gold,BTG,223.71 십억,12860.54,17.39 백만,6.12 십억,-1.56%,5.38%,-6.43%
27,VeChain,VET,214.76 십억,3.87,55.45 십억*,4.14 십억,-0.35%,1.90%,-13.17%
28,Basic Attenti...,BAT,180.13 십억,147.90,1.22 십억*,5.43 십억,-0.36%,1.57%,-7.88%
29,OmiseGO,OMG,180.08 십억,1284.06,140.25 백만*,26.67 십억,-0.08%,3.31%,-13.14%
30,Paxos Standar...,PAX,175.40 십억,1139.55,153.92 백만*,56.91 십억,0.00%,0.07%,-1.11%
31,Qtum,QTUM,174.71 십억,1960.60,89.11 백만*,85.64 십억,0.06%,1.80%,5.00%
32,0x,ZRX,172.63 십억,312.74,551.97 백만*,8.39 십억,-0.12%,1.59%,-16.08%
33,Ontology,ONT,151.12 십억,519.11,291.12 백만*,10.16 십억,-0.43%,0.17%,-18.47%
34,Decred,DCR,147.87 십억,16450.39,8.99 백만,1.19 십억,-1.36%,-0.44%,-15.14%
35,Lisk,LSK,146.34 십억,1294.44,113.05 백만*,3.28 십억,-0.23%,1.76%,-7.67%
36,Bitcoin Diamond,BCD,126.89 십억,825.25,153.76 백만,2.46 십억,-0.29%,-1.46%,1.03%
37,Zilliqa,ZIL,119.59 십억,14.84,8.06 십억*,3.56 십억,-0.19%,2.93%,-4.55%
38,Nano,NANO,116.99 십억,877.95,133.25 백만*,1.37 십억,-0.16%,2.05%,-11.09%
39,Bytecoin,BCN,113.07 십억,0.614273,184.07 십억,210.01 백만,2.26%,6.40%,-10.00%
40,BitShares,BTS,109.15 십억,40.74,2.68 십억*,3.02 십억,-0.69%,1.67%,-4.29%
41,DigiByte,DGB,108.06 십억,9.66,11.19 십억,1.07 십억,-3.05%,5.14%,-12.72%
42,ICON,ICX,102.51 십억,216.53,473.41 백만*,3.55 십억,-0.18%,2.00%,-12.02%
43,Gemini Dollar,GUSD,99.59 십억,1138.37,87.49 백만*,29.49 십억,0.03%,2.44%,-2.05%
44,Verge,XVG,98.14 십억,6.47,15.17 십억,1.07 십억,0.15%,1.56%,-6.85%
45,Siacoin,SC,97.53 십억,2.54,38.45 십억,419.73 백만,0.30%,2.42%,-9.50%
46,Aurora,AOA,94.21 십억,14.40,6.54 십억*,421.03 백만,0.66%,-2.05%,-16.63%
47,Aeternity,AE,89.87 십억,385.66,233.02 백만*,4.47 십억,-0.48%,1.20%,-13.40%
48,Chainlink,LINK,84.12 십억,240.34,350.00 백만*,1.60 십억,0.06%,3.76%,-6.59%
49,Pundi X,NPXS,83.26 십억,0.539082,154.46 십억*,825.09 백만,-1.10%,2.06%,-12.25%
50,Bytom,BTM,79.47 십억,79.27,1.00 십억,1.55 십억,-0.56%,1.29%,-0.12%
51,Factom,FCT,76.47 십억,8744.68,8.75 백만*,607.22 백만,0.30%,1.98%,-41.45%
52,Steem,STEEM,75.88 십억,250.53,302.89 백만*,395.92 백만,-0.29%,-1.83%,-11.17%
53,QASH,QASH,75.25 십억,215.00,350.00 백만*,914.99 백만,0.02%,-2.45%,-9.92%
54,Revain,R,73.75 십억,152.23,484.45 백만*,2.82 십억,5.95%,19.11%,-1.43%
55,Stratis,STRAT,72.31 십억,729.38,99.13 백만*,1.56 십억,-2.14%,12.74%,-0.53%
56,Augur,REP,72.23 십억,6566.40,11.00 백만*,1.55 십억,0.14%,1.01%,-7.89%
57,Populous,PPT,69.03 십억,1296.27,53.25 백만*,978.99 백만,0.30%,4.96%,-12.50%
58,Komodo,KMD,65.73 십억,592.14,111.01 백만,248.60 백만,0.11%,-2.89%,-15.54%
59,MaidSafeCoin,MAID,65.72 십억,145.21,452.55 백만*,280.01 백만,-0.12%,1.32%,-8.81%
60,Holo,HOT,65.49 십억,0.491648,133.21 십억*,1.03 십억,0.04%,3.73%,-7.98%
61,Dai,DAI,62.88 십억,1161.93,54.12 백만*,5.13 십억,0.28%,0.33%,0.39%
62,Golem,GNT,62.01 십억,64.61,959.84 백만*,935.47 백만,-0.20%,2.35%,-14.99%
63,Electroneum,ETN,61.45 십억,7.19,8.55 십억,155.09 백만,0.01%,2.54%,-3.84%
64,Cryptonex,CNX,61.33 십억,1103.23,55.60 백만,5.87 십억,1.31%,2.36%,-6.30%
65,Huobi Token,HT,59.94 십억,1198.75,50.00 백만*,4.90 십억,-0.05%,0.74%,-5.73%
66,TenX,PAY,57.97 십억,506.97,114.35 백만*,1.62 십억,-1.67%,24.91%,82.48%
67,DEX,DEX,56.94 십억,297.28,191.54 백만*,790.96 백만,4.27%,-2.01%,37.25%
68,Status,SNT,56.40 십억,16.25,3.47 십억*,3.84 십억,-0.09%,5.66%,-5.31%
69,Decentraland,MANA,54.19 십억,51.60,1.05 십억*,2.34 십억,0.96%,6.44%,-24.27%
70,IOST,IOST,52.87 십억,4.40,12.00 십억*,2.07 십억,0.04%,5.03%,-4.57%
71,Bitcoin Private,BTCP,52.53 십억,2559.37,20.52 백만,69.93 백만,-0.80%,-1.34%,20.90%
72,Ardor,ARDR,51.19 십억,51.24,999.00 백만*,361.17 백만,-0.01%,-2.39%,-13.66%
73,KuCoin Shares,KCS,48.59 십억,539.02,90.14 백만*,53.09 백만,-1.04%,1.45%,-6.21%
74,Insight Chain,INB,46.31 십억,279.13,165.92 백만*,1.57 십억,-0.01%,-3.43%,-3.73%
75,Polymath,POLY,43.94 십억,153.15,286.89 백만*,2.67 십억,0.38%,2.64%,13.12%
76,Waltonchain,WTC,42.06 십억,1041.93,40.37 백만*,5.71 십억,-0.06%,1.12%,-1.63%
77,Nexo,NEXO,42.02 십억,75.03,560.00 백만*,1.68 십억,1.89%,5.31%,-11.88%
78,Elastos,ELA,41.97 십억,2935.85,14.29 백만,766.57 백만,0.41%,5.34%,-0.16%
79,Dentacoin,DCN,40.91 십억,0.125182,326.82 십억*,49.15 백만,1.32%,21.91%,47.71%
80,WAX,WAX,40.40 십억,43.17,935.84 백만*,327.51 백만,0.46%,0.62%,-33.02%
81,STASIS EURS,EURS,40.04 십억,1318.11,30.38 백만*,103.12 백만,0.01%,3.88%,1.64%
82,QuarkChain,QKC,39.12 십억,48.80,801.65 백만*,4.21 십억,0.72%,5.31%,0.31%
83,ODEM,ODE,38.55 십억,176.85,218.00 백만*,647.88 백만,-0.28%,-0.57%,-25.03%
84,Ark,ARK,37.56 십억,350.84,107.05 백만*,192.85 백만,0.08%,1.18%,-5.11%
85,Metaverse ETP,ETP,36.95 십억,681.21,54.24 백만,3.04 십억,-0.33%,-3.80%,-6.44%
86,HyperCash,HC,35.29 십억,810.65,43.53 백만,18.04 십억,-1.05%,5.27%,13.17%
87,Wanchain,WAN,35.23 십억,331.85,106.15 백만*,1.53 십억,0.13%,1.59%,-13.88%
88,Bancor,BNT,34.33 십억,541.93,63.34 백만*,1.18 십억,0.08%,0.93%,-12.07%
89,Aion,AION,34.24 십억,129.05,265.29 백만,772.20 백만,0.28%,-0.50%,-11.95%
90,Ravencoin,RVN,34.08 십억,13.80,2.47 십억,1.23 십억,-0.30%,0.76%,-14.96%
91,MobileGo,MGO,34.06 십억,340.59,100.00 백만*,8.09 십억,-0.16%,-3.71%,-40.54%
92,THETA,THETA,33.67 십억,47.65,706.50 백만*,527.92 백만,-0.04%,3.12%,-10.47%
93,Mithril,MITH,33.55 십억,68.94,486.63 백만*,8.12 십억,-0.25%,-3.07%,-15.37%
94,ReddCoin,RDD,33.10 십억,1.15,28.81 십억*,132.61 백만,-1.75%,2.12%,-15.61%
95,Mixin,XIN,32.96 십억,74076.98,444.92 천*,8.01 백만,0.00%,4.05%,8.57%
96,GXChain,GXS,31.89 십억,531.52,60.00 백만*,7.32 십억,0.05%,1.16%,-10.40%
97,aelf,ELF,31.81 십억,113.59,280.00 백만*,2.04 십억,-0.35%,-0.23%,-11.46%
98,PIVX,PIVX,31.66 십억,557.57,56.78 백만*,87.35 백만,-0.24%,1.89%,-18.09%
99,Enjin Coin,ENJ,31.31 십억,41.13,761.16 백만*,3.31 십억,10.93%,32.88%,31.28%
100,Crypto.com,MCO,31.03 십억,1964.62,15.79 백만*,5.20 십억,0.20%,2.20%,-12.30%
101,Credo,CREDO,30.28 십억,55.07,549.89 백만*,822.24 천,-0.03%,31.55%,17.89%
102,Digitex Futures,DGTX,29.93 십억,40.94,731.25 백만*,333.33 백만,-2.07%,11.52%,4.39%
103,Loopring,LRC,29.86 십억,37.84,788.98 백만*,277.39 백만,0.06%,0.44%,-6.64%
104,MOAC,MOAC,29.85 십억,477.83,62.46 백만*,23.56 백만,-3.73%,4.94%,-36.77%
105,Endor Protocol,EDR,29.79 십억,43.43,685.81 백만*,871.22 백만,-0.65%,31.42%,1.84%
106,DigixDAO,DGD,29.73 십억,14865.11,2.00 백만*,153.67 백만,0.05%,4.49%,-8.48%
107,XYO Network,XYO,29.54 십억,5.31,5.56 십억*,75.58 백만,0.64%,12.17%,-1.22%
108,Nxt,NXT,28.47 십억,28.50,999.00 백만*,403.12 백만,-0.17%,2.37%,-12.10%
109,Power Ledger,POWR,28.36 십억,72.47,391.38 백만*,474.68 백만,-0.13%,2.01%,-10.67%
110,ProximaX,XPX,28.17 십억,4.62,6.10 십억*,1.58 십억,-0.14%,1.21%,-2.54%
111,Zcoin,XZC,28.03 십억,4868.81,5.76 백만,293.49 백만,-0.36%,-0.13%,-17.95%
112,Loom Network,LOOM,27.49 십억,45.38,605.89 백만*,962.31 백만,0.18%,3.04%,-14.95%
113,Centrality,CENNZ,27.15 십억,33.88,801.38 백만*,10.03 백만,0.09%,1.37%,-13.74%
114,Nectar,NEC,26.84 십억,325.93,82.35 백만*,3.01 백만,-0.01%,1.06%,0.85%
115,Syscoin,SYS,26.19 십억,48.04,545.04 백만,2.08 십억,0.35%,-6.26%,28.96%
116,Nebulas,NAS,26.17 십억,575.27,45.50 백만*,842.21 백만,-0.27%,2.46%,-13.64%
117,WaykiChain,WICC,25.96 십억,123.63,210.00 백만*,140.74 백만,-0.29%,0.75%,-3.45%
118,Horizen,ZEN,25.93 십억,4820.76,5.38 백만,292.53 백만,-0.05%,-0.41%,-11.75%
119,MonaCoin,MONA,25.91 십억,402.32,64.39 백만,488.12 백만,-0.53%,-0.34%,-28.78%
120,Kin,KIN,23.92 십억,0.031630,756.10 십억*,462.51 백만,-0.06%,0.35%,-0.78%
121,Veritaseum,VERI,23.88 십억,11722.81,2.04 백만*,1.49 십억,-10.19%,-8.56%,-12.56%
122,ARBITRAGE,ARB,23.66 십억,5427.96,4.36 백만*,215.57 백만,-8.40%,36.96%,87.37%
123,FunFair,FUN,23.56 십억,4.23,5.57 십억*,486.22 백만,0.05%,7.01%,-10.57%
124,BOScoin,BOS,23.38 십억,51.18,456.84 백만*,80.58 백만,-0.01%,2.46%,-13.06%
125,Eidoo,EDO,22.99 십억,785.71,29.26 백만*,361.20 백만,0.04%,1.00%,8.89%
126,Nasdacoin,NSD,22.03 십억,1165.87,18.89 백만,94.42 백만,-0.21%,2.38%,-22.06%
127,Swarm,SWM,21.98 십억,319.35,68.83 백만*,625.24 백만,2.34%,22.99%,153.28%
128,SingularityNET,AGI,21.97 십억,40.71,539.67 백만*,316.90 백만,0.18%,8.53%,-9.50%
129,Spectre.ai Di...,SXDT,21.25 십억,258.90,82.07 백만*,35.74 백만,0.00%,0.57%,6.56%
130,Byteball Bytes,GBYTE,21.16 십억,31156.46,679.01 천*,4.79 백만,-2.39%,-2.09%,-5.24%
131,PumaPay,PMA,20.56 십억,0.982732,20.92 십억*,1.57 십억,4.25%,22.67%,21.33%
132,Maximine Coin,MXM,20.16 십억,12.37,1.63 십억*,862.98 백만,0.32%,1.35%,-4.00%
133,CyberMiles,CMT,20.14 십억,25.18,800.00 백만*,797.99 백만,-1.17%,-2.94%,-17.57%
134,Gas,GAS,19.41 십억,1916.83,10.13 백만*,243.87 백만,-0.42%,5.04%,-6.49%
135,Veros,VRS,19.39 십억,352.31,55.04 백만*,1.99 십억,0.67%,21.90%,477.64%
136,SIRIN LABS Token,SRN,19.34 십억,39.32,491.82 백만*,749.69 백만,-0.25%,0.00%,-28.24%
137,Bibox Token,BIX,19.25 십억,184.45,104.38 백만*,612.39 백만,1.63%,0.19%,-8.52%
138,SmartCash,SMART,19.24 십억,18.26,1.05 십억,645.80 백만,-2.84%,-1.89%,-3.45%
139,Civic,CVC,19.20 십억,56.03,342.70 백만*,423.22 백만,-0.18%,1.79%,-12.55%
140,Storj,STORJ,18.86 십억,138.88,135.79 백만*,425.82 백만,0.26%,3.42%,-7.02%
141,Kyber Network,KNC,18.81 십억,140.25,134.13 백만*,1.81 십억,-0.34%,4.02%,-9.72%
142,Smartlands,SLT,18.75 십억,3675.01,5.10 백만*,1.09 십억,-0.40%,-12.48%,-25.05%
143,Dragonchain,DRGN,18.47 십억,77.45,238.42 백만*,294.46 백만,1.74%,1.91%,-13.80%
144,SALT,SALT,18.32 십억,226.90,80.73 백만*,1.12 십억,-0.42%,2.45%,-6.31%
145,Substratum,SUB,18.23 십억,47.58,383.02 백만*,224.30 백만,0.93%,8.90%,-8.02%
146,Nuls,NULS,18.11 십억,452.71,40.00 백만*,3.55 십억,-0.64%,-1.24%,1.23%
147,Moeda Loyalty...,MDA,18.07 십억,920.38,19.63 백만*,15.67 십억,-1.82%,14.49%,26.59%
148,Enigma,ENG,17.95 십억,239.89,74.84 백만*,425.51 백만,0.31%,-1.55%,-18.98%
149,Bread,BRD,17.35 십억,195.58,88.73 백만*,37.19 백만,-0.44%,2.90%,-12.17%
150,Credits,CS,17.05 십억,111.83,152.43 백만*,1.29 십억,0.50%,0.98%,4.99%
151,OneRoot Network,RNT,16.95 십억,62.15,272.73 백만*,153.84 백만,0.10%,3.66%,10.80%
152,Dent,DENT,16.89 십억,0.979489,17.24 십억*,273.56 백만,0.34%,3.74%,-7.30%
153,Genesis Vision,GVT,16.72 십억,3777.95,4.43 백만*,4.74 십억,-1.42%,3.91%,-6.39%
154,Unobtanium,UNO,16.60 십억,83136.95,199.67 천,3.09 백만,0.03%,4.27%,-0.66%
155,Pillar,PLR,16.46 십억,63.48,259.35 백만*,2.87 백만,-0.58%,-2.13%,26.43%
156,GoChain,GO,16.46 십억,25.14,654.78 백만*,546.54 백만,0.01%,1.27%,-14.30%
157,Nexus,NXS,16.22 십억,271.59,59.71 백만,113.46 백만,0.01%,1.53%,-3.42%
158,Groestlcoin,GRS,16.20 십억,226.49,71.52 백만,293.30 백만,0.28%,-0.75%,-14.07%
159,Request Network,REQ,16.14 십억,22.12,729.66 백만*,164.52 백만,-0.38%,1.31%,-6.91%
160,Tokenomy,TEN,16.02 십억,80.12,200.00 백만*,450.35 백만,0.78%,0.46%,-10.12%
161,Iconomi,ICN,16.00 십억,161.74,98.93 백만*,1.55 백만,-0.13%,-0.18%,-2.76%
162,Cortex,CTXC,15.98 십억,106.68,149.79 백만*,2.49 십억,0.58%,0.08%,-12.34%
163,Dropil,DROP,15.76 십억,0.714447,22.05 십억*,140.70 백만,0.49%,5.43%,-40.33%
164,Gold Bits Coin,GBC,15.70 십억,148.11,105.97 백만*,657.47 천,0.04%,-27.49%,-48.18%
165,Telcoin,TEL,15.24 십억,0.436564,34.90 십억*,13.39 백만,3.66%,0.99%,-3.29%
166,BridgeCoin,BCO,14.80 십억,548.06,27.00 백만*,40.38 백만,-0.96%,-1.88%,37.55%
167,Fusion,FSN,14.75 십억,496.51,29.70 백만*,445.07 백만,-0.20%,-7.77%,-33.05%
168,Emercoin,EMC,14.70 십억,349.07,42.12 백만,82.88 백만,-1.11%,3.27%,-5.35%
169,APIS,APIS,14.62 십억,3.00,4.87 십억*,3.19 십억,0.04%,9.26%,-5.22%
170,Optimal Shelf...,OSA,14.50 십억,45.53,318.57 백만*,1.43 십억,-0.52%,-1.35%,-5.42%
171,Neblio,NEBL,14.50 십억,1048.19,13.84 백만*,64.05 백만,0.16%,4.41%,-3.65%
172,iExec RLC,RLC,14.48 십억,180.90,80.07 백만*,342.83 백만,0.13%,3.36%,-11.55%
173,BnkToTheFuture,BFT,14.48 십억,22.98,629.99 백만*,60.82 백만,0.39%,3.18%,9.65%
174,Quant,QNT,14.23 십억,1454.95,9.78 백만*,1.64 십억,-0.18%,8.21%,-12.89%
175,Cindicator,CND,14.19 십억,9.82,1.45 십억*,49.64 백만,5.01%,4.60%,-12.73%
176,Santiment Net...,SAN,14.17 십억,226.18,62.66 백만*,432.11 백만,-0.16%,2.14%,-1.12%
177,Buggyra Coin ...,BCZERO,13.92 십억,8.29,1.68 십억*,11.32 백만,0.49%,16.24%,114.20%
178,Peercoin,PPC,13.85 십억,551.73,25.09 백만,232.60 백만,-0.20%,-5.47%,-16.07%
179,Storm,STORM,13.72 십억,3.00,4.57 십억*,698.75 백만,-0.61%,6.41%,-9.51%
180,Particl,PART,13.62 십억,1688.01,8.07 백만*,83.01 백만,0.13%,8.78%,-23.66%
181,Gnosis,GNO,13.62 십억,12326.35,1.10 백만*,437.65 백만,-0.53%,22.44%,-24.96%
182,PRIZM,PZM,13.54 십억,195.72,69.18 백만*,16.54 백만,0.01%,-2.77%,-20.24%
183,THEKEY,TKY,13.47 십억,2.66,5.06 십억*,159.77 백만,-2.23%,-1.46%,-25.31%
184,Republic Prot...,REN,13.46 십억,21.49,626.28 백만*,1.01 십억,-0.90%,2.07%,-31.14%
185,Energi,NRG,13.40 십억,1231.20,10.88 백만,19.85 백만,-0.16%,2.37%,-19.73%
186,ETERNAL TOKEN,XET,13.39 십억,197.13,67.93 백만*,58.15 백만,1.32%,-2.30%,-19.12%
187,TokenClub,TCT,13.32 십억,27.67,481.43 백만*,121.27 백만,0.04%,2.59%,8.73%
188,Neumark,NEU,13.22 십억,286.67,46.13 백만*,2.08 백만,0.73%,-1.86%,-12.55%
189,Mainframe,MFT,13.20 십억,2.98,4.43 십억*,477.46 백만,-0.46%,3.97%,-14.65%
190,Wagerr,WGR,13.08 십억,71.50,183.00 백만*,15.26 백만,2.68%,11.05%,-7.23%
191,CRYPTO20,C20,12.91 십억,320.90,40.23 백만*,10.45 백만,3.81%,-0.45%,-9.62%
192,Bezant,BZNT,12.79 십억,25.48,502.15 백만*,888.58 백만,4.11%,16.74%,-9.16%
193,Gifto,GTO,12.75 십억,23.97,531.82 백만*,3.98 십억,0.18%,2.12%,-5.72%
194,DMarket,DMT,12.72 십억,253.40,50.22 백만*,882.08 백만,-0.92%,-0.73%,-1.33%
195,Odyssey,OCN,12.58 십억,2.65,4.75 십억*,1.18 십억,0.22%,-0.46%,-23.12%
196,STACS,STACS,12.38 십억,25.78,480.20 백만*,141.10 백만,0.99%,0.15%,7.82%
197,IoTeX,IOTX,12.26 십억,8.04,1.53 십억*,989.35 백만,0.00%,0.64%,-2.79%
198,Vertcoin,VTC,12.23 십억,258.43,47.32 백만,70.86 백만,-2.15%,-0.17%,-7.90%
199,Ignis,IGNIS,12.22 십억,16.06,761.14 백만*,23.09 백만,-0.01%,3.58%,-15.37%
200,Vitae,VITAE,12.14 십억,1128.43,10.76 백만,8.44 백만,-0.25%,4.83%,-16.16%
201,TokenPay,TPAY,11.99 십억,762.94,15.72 백만*,175.05 백만,-0.16%,1.17%,-16.04%
202,Po.et,POE,11.97 십억,4.95,2.42 십억*,219.50 백만,-0.31%,3.24%,-12.71%
203,OST,OST,11.78 십억,25.85,455.48 백만*,388.43 백만,0.15%,7.30%,3.12%
204,TrueChain,TRUE,11.76 십억,253.27,46.45 백만*,13.36 십억,-0.87%,0.59%,-0.03%
205,Scry.info,DDD,11.68 십억,26.54,440.06 백만*,353.25 백만,-0.09%,1.82%,-11.44%
206,Aragon,ANT,11.60 십억,398.55,29.10 백만*,90.84 백만,-0.09%,1.48%,-23.09%
207,Streamr DATAcoin,DATA,11.58 십억,17.10,677.15 백만*,314.79 백만,-0.41%,0.28%,-9.17%
208,Everipedia,IQ,11.50 십억,2.55,4.51 십억*,84.77 백만,-0.68%,-0.23%,-6.63%
209,Noah Coin,NOAH,11.45 십억,0.350258,32.69 십억*,117.88 백만,0.51%,3.87%,-13.61%
210,MediBloc [ERC20],MEDX,11.33 십억,3.57,3.17 십억*,968.89 백만,0.07%,2.71%,14.49%
211,Cube,AUTO,11.32 십억,1.67,6.77 십억*,1.07 십억,-1.00%,-3.60%,-3.79%
212,AMO Coin,AMO,11.27 십억,1.26,8.97 십억*,171.75 백만,-0.09%,0.62%,-4.18%
213,Breezecoin,BRZC,11.10 십억,282.65,39.28 백만*,2.78 백만,1.00%,-16.37%,10.95%
214,Matrix AI Net...,MAN,10.87 십억,72.48,150.00 백만*,693.20 백만,-1.04%,-1.62%,-10.76%
215,Skycoin,SKY,10.86 십억,987.71,11.00 백만*,153.76 백만,0.71%,-0.38%,-7.04%
216,UTRUST,UTK,10.84 십억,24.09,450.00 백만*,90.20 백만,-1.11%,1.59%,-0.21%
217,Gulden,NLG,10.83 십억,26.09,415.03 백만,19.75 백만,-0.54%,1.55%,1.28%
218,NavCoin,NAV,10.69 십억,167.72,63.76 백만*,3.47 십억,-1.46%,-6.21%,13.04%
219,TomoChain,TOMO,10.67 십억,195.39,54.63 백만*,419.83 백만,0.18%,2.97%,11.76%
220,Genaro Network,GNX,10.64 십억,17.93,593.71 백만,203.59 백만,2.60%,4.82%,-21.59%
221,ZrCoin,ZRC,10.61 십억,2684.34,3.95 백만*,41.30 백만,0.82%,0.01%,19.99%
222,Safe Exchange...,SAFEX,10.40 십억,6.74,1.54 십억*,3.65 백만,0.02%,0.37%,-9.44%
223,WhiteCoin,XWC,10.27 십억,41.04,250.18 백만*,126.08 백만,0.98%,1.19%,-8.59%
224,Ubiq,UBQ,10.07 십억,236.35,42.61 백만,9.55 백만,-1.18%,2.06%,-16.64%
225,RChain,RHOC,10.05 십억,26.88,373.79 백만*,93.19 백만,1.08%,-3.34%,-30.09%
226,Nucleus Vision,NCASH,10.04 십억,1.81,5.54 십억*,112.69 백만,0.00%,3.36%,-9.59%
227,Own,CHX,9.92 십억,136.37,72.71 백만*,279.56 백만,-0.87%,13.92%,24.05%
228,Einsteinium,EMC2,9.90 십억,45.42,218.06 백만,102.73 백만,-1.49%,-0.94%,-19.36%
229,Moss Coin,MOC,9.88 십억,45.80,215.74 백만*,40.17 백만,0.92%,-2.38%,13.23%
230,High Performa...,HPB,9.85 십억,258.94,38.02 백만*,1.50 십억,-0.10%,1.47%,-13.09%
231,Darico Ecosys...,DEC,9.80 십억,190.10,51.54 백만*,152.05 백만,-13.01%,-21.89%,-21.72%
232,SmartMesh,SMT,9.79 십억,6.92,1.41 십억*,49.26 백만,-0.63%,0.84%,-0.60%
233,Raiden Networ...,RDN,9.72 십억,193.53,50.22 백만*,527.55 백만,-0.17%,4.30%,-13.46%
234,SaluS,SLS,9.63 십억,9516.41,1.01 백만*,13.19 백만,-2.85%,-2.33%,-16.52%
235,Quantum Resis...,QRL,9.60 십억,184.66,52.00 백만*,11.07 백만,0.03%,1.63%,0.09%
236,MediBloc [QRC20],MED,9.32 십억,3.14,2.97 십억*,23.67 백만,0.83%,5.35%,10.28%
237,COSS,COSS,9.22 십억,77.58,118.81 백만*,128.34 백만,0.77%,7.11%,36.32%
238,Ambrosus,AMB,9.21 십억,63.71,144.59 백만*,1.57 십억,-0.26%,3.97%,-2.38%
239,Ethos,ETHOS,9.19 십억,104.63,87.81 백만*,802.89 백만,-0.80%,9.44%,-0.27%
240,Quantstamp,QSP,9.09 십억,14.72,617.31 백만*,130.40 백만,1.11%,6.16%,-9.65%
241,Quanta Utilit...,QNTU,8.93 십억,0.304914,29.28 십억*,9.12 백만,-1.01%,1.32%,9.54%
242,Cryptaur,CPT,8.90 십억,1.21,7.35 십억*,10.19 백만,-0.04%,2.61%,-8.51%
243,Bluzelle,BLZ,8.87 십억,44.51,199.38 백만*,300.89 백만,-0.63%,0.70%,-14.82%
244,ETHLend,LEND,8.82 십억,8.02,1.10 십억*,305.97 백만,0.85%,5.93%,2.68%
245,BLOCKv,VEE,8.81 십억,3.78,2.33 십억*,55.13 백만,-1.19%,-0.90%,-2.27%
246,bitCNY,BITCNY,8.81 십억,166.96,52.74 백만*,22.43 십억,0.15%,0.64%,-1.40%
247,E-Dinar Coin,EDR,8.80 십억,9.93,886.21 백만,1.43 십억,-0.02%,-3.22%,-3.71%
248,Burst,BURST,8.78 십억,4.37,2.01 십억,101.70 백만,0.67%,-2.82%,-30.58%
249,Namecoin,NMC,8.64 십억,586.03,14.74 백만,16.59 백만,0.07%,2.82%,10.52%
250,Blocknet,BLOCK,8.59 십억,1567.69,5.48 백만*,26.39 백만,2.01%,-0.63%,-16.80%
251,BABB,BAX,8.57 십억,0.408247,21.00 십억*,46.95 백만,1.04%,0.57%,2.46%
252,Wowbit,WWB,8.34 십억,30.02,277.78 백만*,87.97 백만,-0.58%,-1.97%,-17.47%
253,Jibrel Network,JNT,8.32 십억,49.21,169.10 백만*,38.06 백만,-0.11%,-0.36%,-17.28%
