#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
1,Bitcoin,BTC,64.57 조,3705476,17.43 백만,4.36 조,0.05%,1.33%,-6.83%
2,XRP,XRP,13.43 조,328.04,40.93 십억*,369.64 십억,-0.04%,0.82%,-5.94%
3,Ethereum,ETH,10.18 조,98009.75,103.83 백만,1.90 조,0.00%,2.84%,-6.78%
4,Stellar,XLM,2.11 조,110.35,19.15 십억*,104.76 십억,-0.02%,1.16%,-18.62%
5,Tether,USDT,2.11 조,1137.80,1.86 십억*,2.72 조,0.00%,0.27%,-1.20%
6,EOS,EOS,1.99 조,2194.55,906.25 백만*,669.57 십억,0.61%,5.79%,5.07%
7,Litecoin,LTC,1.76 조,29503.77,59.59 백만,400.62 십억,1.06%,10.43%,1.21%
8,Bitcoin Cash,BCH,1.62 조,92300.38,17.51 백만,96.77 십억,-0.12%,2.54%,-24.67%
9,Bitcoin SV,BSV,1.49 조,84943.03,17.51 백만,96.25 십억,0.97%,6.48%,-22.16%
10,TRON,TRX,987.52 십억,14.86,66.46 십억,52.74 십억,0.40%,3.27%,-2.81%
11,Cardano,ADA,855.84 십억,33.01,25.93 십억*,10.62 십억,0.07%,3.76%,-4.94%
12,Monero,XMR,753.82 십억,45277.42,16.65 백만,12.63 십억,-0.41%,3.96%,-13.91%
13,IOTA,MIOTA,717.20 십억,258.03,2.78 십억*,10.01 십억,-0.45%,7.31%,-4.41%
14,Binance Coin,BNB,684.03 십억,5229.59,130.80 백만*,16.31 십억,0.00%,1.61%,-2.09%
15,Dash,DASH,618.98 십억,72752.79,8.51 백만,136.30 십억,-1.22%,8.40%,-8.22%
16,NEM,XEM,616.15 십억,68.46,9.00 십억*,11.55 십억,-1.22%,-0.86%,-17.31%
17,Ethereum Classic,ETC,452.89 십억,4240.56,106.80 백만,93.10 십억,0.44%,3.72%,-5.08%
18,NEO,NEO,430.86 십억,6628.69,65.00 백만*,88.50 십억,0.03%,4.81%,-6.33%
19,Zcash,ZEC,327.69 십억,60003.31,5.46 백만,123.01 십억,0.82%,7.27%,-10.54%
