#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
59,Komodo,KMD,68.91 십억,620.59,111.04 백만,477.62 백만,-0.89%,4.54%,-3.12%
60,MaidSafeCoin,MAID,67.10 십억,148.26,452.55 백만*,514.91 백만,-0.15%,5.05%,-10.37%
61,Cryptonex,CNX,65.77 십억,1183.02,55.60 백만,6.25 십억,0.81%,7.90%,2.16%
62,Electroneum,ETN,65.62 십억,7.67,8.56 십억,550.32 백만,-1.02%,6.71%,5.58%
63,Golem,GNT,65.59 십억,68.33,959.84 백만*,64.21 십억,-0.19%,7.39%,-9.22%
64,TenX,PAY,64.27 십억,562.01,114.35 백만*,2.01 십억,10.22%,14.29%,71.69%
65,Dai,DAI,62.70 십억,1143.21,54.85 백만*,11.45 십억,0.06%,-1.73%,-1.21%
66,Huobi Token,HT,61.34 십억,1226.82,50.00 백만*,12.35 십억,-0.95%,2.79%,-1.07%
67,Status,SNT,59.15 십억,17.04,3.47 십억*,2.73 십억,-0.78%,5.00%,3.74%
68,IOST,IOST,58.10 십억,4.84,12.00 십억*,4.71 십억,-0.51%,4.67%,8.11%
69,Bitcoin Private,BTCP,55.97 십억,2726.85,20.52 백만,81.83 백만,0.32%,13.74%,16.96%
70,Decentraland,MANA,54.65 십억,52.04,1.05 십억*,4.08 십억,-1.26%,-0.20%,-16.39%
71,KuCoin Shares,KCS,52.38 십억,581.15,90.14 백만*,140.22 백만,0.91%,3.16%,8.69%
72,Ardor,ARDR,52.00 십억,52.05,999.00 백만*,1.40 십억,-0.09%,-1.83%,-8.64%
73,Insight Chain,INB,49.93 십억,300.95,165.92 백만*,2.74 십억,-0.30%,5.78%,8.00%
74,DEX,DEX,48.78 십억,254.68,191.54 백만*,222.29 백만,-0.12%,-1.23%,-17.39%
75,MobileGo,MGO,47.94 십억,479.41,100.00 백만*,14.23 십억,0.88%,14.41%,-5.71%
76,Waltonchain,WTC,46.77 십억,1158.54,40.37 백만*,5.40 십억,-0.23%,11.49%,10.23%
77,Polymath,POLY,46.04 십억,160.17,287.44 백만*,3.48 십억,-0.03%,3.04%,23.68%
78,Nexo,NEXO,45.25 십억,80.80,560.00 백만*,2.05 십억,-1.13%,5.59%,0.05%
79,Elastos,ELA,42.86 십억,2997.59,14.30 백만,1.28 십억,-1.80%,4.96%,4.01%
80,Linkey,LKY,42.55 십억,851.03,50.00 백만*,110.81 백만,-0.22%,6.20%,6.69%
81,QuarkChain,QKC,42.41 십억,52.91,801.65 백만*,4.81 십억,2.30%,10.53%,11.05%
82,Dentacoin,DCN,42.35 십억,0.129589,326.82 십억*,16.45 백만,-0.06%,13.81%,43.72%
83,WAX,WAX,41.59 십억,44.44,935.84 백만*,1.72 십억,-0.39%,3.15%,-38.34%
84,HyperCash,HC,40.98 십억,941.32,43.53 백만,6.48 십억,0.39%,14.50%,31.34%
85,Ark,ARK,39.58 십억,369.56,107.10 백만*,460.68 백만,-0.12%,1.77%,7.13%
86,Mixin,XIN,39.20 십억,88081.88,445.00 천*,3.58 백만,-0.11%,12.87%,20.23%
87,STASIS EURS,EURS,39.00 십억,1283.80,30.38 백만*,305.64 백만,0.05%,1.55%,-0.97%
88,ReddCoin,RDD,38.84 십억,1.35,28.81 십억*,316.43 백만,-0.33%,10.00%,6.49%
89,MOAC,MOAC,38.62 십억,618.31,62.46 백만*,94.05 백만,-1.46%,9.31%,0.50%
90,ODEM,ODE,38.29 십억,175.65,218.00 백만*,998.94 백만,-0.07%,0.84%,-20.99%
91,Wanchain,WAN,38.13 십억,359.22,106.15 백만*,2.10 십억,-0.62%,8.48%,-1.69%
92,Metaverse ETP,ETP,37.16 십억,685.05,54.25 백만,2.82 십억,1.08%,0.89%,-2.90%
93,Ravencoin,RVN,37.11 십억,14.94,2.48 십억,3.15 십억,0.20%,9.26%,-2.29%
94,Aion,AION,36.59 십억,137.92,265.29 백만,1.98 십억,-0.16%,7.67%,2.31%
95,Mithril,MITH,36.11 십억,74.20,486.63 백만*,58.20 십억,-1.20%,7.51%,-10.93%
96,Bancor,BNT,35.97 십억,569.87,63.13 백만*,1.32 십억,-0.29%,5.08%,-4.18%
97,Digitex Futures,DGTX,35.05 십억,47.94,731.25 백만*,463.56 백만,1.11%,15.46%,21.85%
98,THETA,THETA,34.66 십억,49.05,706.50 백만*,1.03 십억,-0.54%,5.76%,-6.29%
99,GXChain,GXS,33.79 십억,563.16,60.00 백만*,6.59 십억,-0.17%,7.99%,-1.14%
100,Crypto.com,MCO,33.64 십억,2129.88,15.79 백만*,5.82 십억,-0.52%,5.70%,-3.43%
101,aelf,ELF,33.58 십억,119.93,280.00 백만*,3.59 십억,1.05%,3.51%,-4.62%
102,Loopring,LRC,33.07 십억,41.92,788.98 백만*,582.22 백만,-0.46%,9.53%,2.71%
103,PIVX,PIVX,32.47 십억,571.78,56.78 백만*,260.57 백만,-1.39%,3.40%,-10.46%
104,MonaCoin,MONA,32.30 십억,501.34,64.44 백만,2.74 십억,-0.83%,22.33%,-0.51%
105,DigixDAO,DGD,31.36 십억,15682.16,2.00 백만*,411.92 백만,0.06%,6.63%,0.75%
106,XYO Network,XYO,31.18 십억,5.60,5.57 십억*,81.47 백만,0.01%,3.46%,7.66%
107,ProximaX,XPX,30.83 십억,5.06,6.10 십억*,2.11 십억,2.28%,9.44%,6.67%
108,Power Ledger,POWR,30.23 십억,77.04,392.38 백만*,883.28 백만,-0.38%,7.01%,2.11%
109,Zcoin,XZC,30.10 십억,5226.82,5.76 백만,420.46 백만,0.57%,8.13%,-6.34%
110,Nxt,NXT,29.97 십억,30.00,999.00 백만*,707.87 백만,-0.33%,6.59%,-6.37%
111,Veritaseum,VERI,29.12 십억,14295.60,2.04 백만*,1.74 십억,-0.73%,18.97%,2.18%
112,Veros,VRS,28.66 십억,520.78,55.04 백만*,2.89 십억,-0.55%,13.40%,363.58%
113,Horizen,ZEN,28.38 십억,5262.32,5.39 백만,553.34 백만,0.01%,6.92%,-3.24%
114,Syscoin,SYS,28.25 십억,51.82,545.14 백만,1.06 십억,1.14%,-3.61%,45.50%
115,Loom Network,LOOM,27.67 십억,45.66,605.91 백만*,3.21 십억,-2.37%,2.08%,-13.78%
116,Enjin Coin,ENJ,27.66 십억,36.34,761.16 백만*,1.57 십억,-0.59%,1.21%,8.11%
117,Credo,CREDO,27.54 십억,50.07,549.89 백만*,2.61 백만,-0.19%,46.77%,12.92%
118,WaykiChain,WICC,27.49 십억,130.90,210.00 백만*,182.82 백만,-1.61%,4.25%,2.97%
119,Nebulas,NAS,27.30 십억,599.94,45.50 백만*,1.18 십억,-1.49%,4.02%,-3.58%
120,BOScoin,BOS,26.23 십억,57.41,456.84 백만*,28.63 백만,-1.89%,6.54%,11.00%
121,Centrality,CENNZ,25.80 십억,32.19,801.52 백만*,44.52 백만,-7.76%,-3.90%,-27.77%
122,Buggyra Coin ...,BCZERO,25.72 십억,15.32,1.68 십억*,43.00 백만,-3.94%,96.31%,254.92%
123,Kin,KIN,25.16 십억,0.033276,756.10 십억*,299.74 백만,0.01%,4.96%,-10.01%
124,Eidoo,EDO,24.84 십억,849.00,29.26 백만*,245.64 백만,-1.84%,11.51%,10.84%
