#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
1,Bitcoin,BTC,67.51 조,3875921,17.42 백만,5.40 조,-1.58%,-3.87%,-14.13%
2,XRP,XRP,13.88 조,339.03,40.93 십억*,464.90 십억,-1.34%,-2.60%,-15.73%
3,Ethereum,ETH,10.42 조,100459,103.73 백만,1.87 조,-2.85%,-4.81%,-20.23%
4,Stellar,XLM,2.49 조,130.18,19.17 십억*,143.07 십억,-1.96%,-4.27%,-24.32%
5,Tether,USDT,2.12 조,1144,1.86 십억*,3.53 조,-0.37%,-0.39%,1.18%
6,Bitcoin Cash,BCH,2.03 조,115908,17.50 백만,74.17 십억,-0.87%,-4.60%,-34.03%
7,EOS,EOS,1.90 조,2097.04,906.25 백만*,937.23 십억,-2.30%,-8.58%,-26.82%
8,Bitcoin SV,BSV,1.79 조,102464,17.50 백만,65.63 십억,-2.00%,-8.24%,-2.43%
9,Litecoin,LTC,1.62 조,27186.38,59.52 백만,451.20 십억,-2.65%,-4.72%,-24.21%
10,TRON,TRX,988.47 십억,14.92,66.25 십억*,62.56 십억,-1.67%,-1.44%,-8.82%
11,Cardano,ADA,859.88 십억,33.17,25.93 십억*,13.09 십억,-2.15%,-5.55%,-25.00%
12,Monero,XMR,816.34 십억,49068.4,16.64 백만,14.72 십억,-1.79%,-7.61%,-23.74%
13,IOTA,MIOTA,758.45 십억,272.87,2.78 십억*,7.42 십억,-2.31%,-0.30%,-14.71%
14,NEM,XEM,722.77 십억,80.31,9.00 십억*,9.43 십억,-1.47%,-3.74%,-8.70%
15,Binance Coin,BNB,684.64 십억,5234.27,130.80 백만*,15.60 십억,-2.43%,-4.16%,-16.06%
16,Dash,DASH,633.79 십억,74572.05,8.50 백만,140.96 십억,-4.02%,-8.01%,-23.63%
17,Ethereum Classic,ETC,471.28 십억,4417.72,106.68 백만,124.25 십억,-2.69%,-0.33%,-16.66%
18,NEO,NEO,433.02 십억,6661.84,65.00 백만*,106.37 십억,-3.09%,-5.95%,-22.23%
19,Zcash,ZEC,333.42 십억,61450.42,5.43 백만,149.17 십억,-3.97%,-6.22%,-27.55%
20,Dogecoin,DOGE,274.95 십억,2.34,117.35 십억,17.06 십억,-0.85%,-1.64%,-10.81%
21,Maker,MKR,262.55 십억,360537,728.23 천*,271.39 백만,-2.44%,-5.07%,-19.48%
22,Tezos,XTZ,247.47 십억,407.36,607.49 백만*,1.83 십억,-2.19%,-4.69%,-17.47%
23,TrueUSD,TUSD,240.51 십억,1156.38,207.99 백만*,34.79 십억,-0.22%,0.18%,0.93%
24,VeChain,VET,232.08 십억,4.18,55.45 십억*,5.78 십억,-2.80%,-5.08%,-20.86%
25,Bitcoin Gold,BTG,231.01 십억,13283.4,17.39 백만,4.69 십억,-1.96%,-3.37%,-29.91%
26,USD Coin,USDC,219.75 십억,1158.81,189.64 백만*,15.29 십억,-0.02%,0.34%,1.36%
27,OmiseGO,OMG,203.77 십억,1452.92,140.25 백만*,25.04 십억,-2.57%,-5.19%,-14.14%
28,Paxos Standar...,PAX,195.20 십억,1144.75,170.52 백만*,63.97 십억,-0.26%,-0.27%,0.46%
29,0x,ZRX,193.14 십억,350.07,551.73 백만* ,8.35 십억,-1.67%,-4.45%,-19.08%
30,Basic Attenti...,BAT,183.31 십억,155.16,1.18 십억*,5.68 십억,-2.91%,-3.99%,-17.95%
31,Ontology,ONT,174.74 십억,600.25,291.12 백만*,7.89 십억,-1.09%,-4.14%,-28.53%
32,Waves,WAVES,173.82 십억,1738.22,100.00 백만*,3.69 십억,-1.95%,-4.26%,-14.53%
