#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
33,Qtum,QTUM,161.09 십억,1808.02,89.10 백만*,94.18 십억,-1.85%,-2.22%,-19.02%
34,Decred,DCR,153.76 십억,17157.04,8.96 백만,1.18 십억,-1.72%,-10.06%,-23.94%
35,Lisk,LSK,150.76 십억,1335.07,112.92 백만*,2.76 십억,-0.58%,-4.35%,-15.84%
36,Nano,NANO,122.87 십억,922.15,133.25 백만*,1.03 십억,-3.63%,-5.26%,-18.29%
37,Zilliqa,ZIL,121.99 십억,15.14,8.06 십억*,4.08 십억,-2.17%,-3.78%,-20.38%
38,Bytecoin,BCN,121.23 십억,0.658636,184.07 십억,203.10 백만,-0.73%,-6.98%,-23.48%
39,Bitcoin Diamond,BCD,120.96 십억,786.71,153.76 백만,1.53 십억,-3.22%,-4.57%,-28.12%
40,DigiByte,DGB,117.02 십억,10.48,11.17 십억,1.18 십억,-1.73%,-5.23%,-24.70%
41,BitShares,BTS,110.42 십억,41.23,2.68 십억*,2.64 십억,-1.12%,-2.74%,-23.49%
42,ICON,ICX,108.50 십억,229.18,473.41 백만*,3.87 십억,-3.14%,-6.54%,-21.03%
43,Aurora,AOA,105.97 십억,16.2,6.54 십억*,592.21 백만,-3.19%,-6.60%,-17.98%
44,Siacoin,SC,102.31 십억,2.67,38.37 십억,753.97 백만,-1.93%,-5.15%,-19.44%
45,Aeternity,AE,101.35 십억,434.96,233.02 백만*,5.66 십억,-3.04%,-6.78%,-26.50%
46,Factom,FCT,100.51 십억,11493.83,8.75 백만*,2.19 십억,-4.34%,-20.83%,-24.36%
47,Verge,XVG,99.00 십억,6.53,15.17 십억,1.54 십억,-2.21%,-7.28%,-20.33%
48,Gemini Dollar,GUSD,98.87 십억,1147.87,86.13 백만*,2.03 십억,-0.74%,-0.68%,0.46%
49,Pundi X,NPXS,89.74 십억,0.581035,154.46 십억*,2.48 십억,-2.43%,-5.06%,-28.65%
50,Chainlink,LINK,86.18 십억,246.24,350.00 백만*,901.68 백만,-2.11%,-4.48%,-26.59%
51,Steem,STEEM,82.34 십억,272.36,302.32 백만*,283.85 백만,-2.05%,-6.31%,-25.56%
52,QASH,QASH,80.90 십억,231.15,350.00 백만*,403.94 백만,-1.97%,-3.80%,-7.13%
53,Bytom,BTM,78.35 십억,78.16,1.00 십억,2.05 십억,-2.28%,-5.30%,-27.07%
54,MaidSafeCoin,MAID,74.60 십억,164.83,452.55 백만*,302.96 백만,-1.12%,-6.79%,1.54%
55,Augur,REP,72.80 십억,6618.33,11.00 백만*,1.03 십억,-2.31%,-5.00%,-26.49%
56,Populous,PPT,72.59 십억,1363.2,53.25 백만*,1.89 십억,-1.76%,-5.83%,-27.62%
57,Golem,GNT,71.80 십억,74.81,959.84 백만*,117.70 십억,-1.72%,-4.60%,-27.83%
58,Stratis,STRAT,71.05 십억,716.76,99.13 백만*,534.24 백만,-2.73%,-6.88%,-24.90%
59,Komodo,KMD,70.13 십억,632.03,110.96 백만,270.91 백만,-2.50%,-8.98%,-23.65%
60,Revain,R,68.87 십억,142.16,484.45 백만*,2.43 십억,-1.07%,-6.52%,-10.88%
61,Holo,HOT,65.24 십억,0.489742,133.21 십억*,1.30 십억,-4.69%,-8.10%,-16.53%
62,Decentraland,MANA,64.85 십억,61.75,1.05 십억*,11.90 십억,-0.51%,-10.06%,-19.51%
63,Dai,DAI,63.85 십억,1161.15,54.99 백만*,3.72 십억,0.02%,0.31%,2.25%
64,Cryptonex,CNX,63.64 십억,1144.8,55.59 백만,6.13 십억,-2.17%,-4.40%,-16.78%
65,WAX,WAX,63.25 십억,67.59,935.84 백만*,15.25 십억,-3.07%,2.02%,-7.67%
66,Huobi Token,HT,61.91 십억,1238.29,50.00 백만*,13.40 십억,-0.81%,-2.23%,-13.52%
67,Electroneum,ETN,61.54 십억,7.24,8.51 십억,234.60 백만,-1.51%,-5.87%,-20.80%
68,DEX,DEX,57.65 십억,300.99,191.54 백만*,718.99 백만,-2.30%,6.43%,-18.02%
69,Ardor,ARDR,56.47 십억,56.53,999.00 백만*,162.75 백만,-1.61%,-3.95%,-18.17%
70,Status,SNT,56.05 십억,16.15,3.47 십억*,3.02 십억,-2.43%,-7.74%,-24.55%
71,IOST,IOST,53.34 십억,4.44,12.00 십억*,1.91 십억,-1.99%,-4.99%,-17.78%
72,MobileGo,MGO,49.98 십억,499.77,100.00 백만*,10.48 십억,-3.75%,-8.07%,-12.28%
73,ODEM,ODE,49.13 십억,225.36,218.00 백만*,897.85 백만,2.07%,-4.75%,-26.27%
74,Bitcoin Private,BTCP,48.43 십억,2359.6,20.52 백만,89.57 백만,-3.17%,10.19%,2.85%
75,KuCoin Shares,KCS,47.94 십억,531.8,90.14 백만*,81.59 백만,-2.38%,-6.06%,-21.15%
76,Insight Chain,INB,46.90 십억,282.65,165.92 백만*,1.87 십억,-1.29%,-2.82%,-7.94%
77,Nexo,NEXO,44.96 십억,80.28,560.00 백만*,1.73 십억,-1.92%,-5.59%,-41.76%
78,Waltonchain,WTC,41.76 십억,1034.44,40.37 백만*,3.94 십억,-2.93%,-4.00%,-20.97%
79,Elastos,ELA,40.72 십억,2853.71,14.27 백만,1.21 십억,-2.44%,-3.10%,-16.01%
80,Linkey,LKY,39.63 십억,792.61,50.00 백만*,83.57 백만,-0.73%,1.09%,-1.02%
81,STASIS EURS,EURS,39.26 십억,1292.44,30.38 백만*,111.64 백만,-1.07%,-2.06%,0.41%
82,Metaverse ETP,ETP,38.81 십억,716.06,54.20 백만,2.36 십억,0.02%,-7.21%,-28.04%
83,QuarkChain,QKC,38.21 십억,47.67,801.65 백만*,3.84 십억,-0.72%,-3.00%,0.44%
84,Wanchain,WAN,38.16 십억,359.47,106.15 백만*,1.18 십억,-2.62%,-8.02%,-22.96%
85,TenX,PAY,37.30 십억,341.14,109.35 백만*,828.60 백만,6.17%,16.86%,8.87%
86,Ravencoin,RVN,37.12 십억,15.25,2.43 십억,2.00 십억,-0.96%,-4.58%,-24.79%
87,ReddCoin,RDD,37.03 십억,1.29,28.81 십억*,200.85 백만,0.10%,-6.24%,-24.54%
88,Mithril,MITH,37.02 십억,82.53,448.58 백만*,4.60 십억,-3.47%,-1.74%,-33.09%
89,Ark,ARK,36.75 십억,343.6,106.95 백만*,447.39 백만,-1.83%,-7.63%,-30.13%
90,THETA,THETA,36.50 십억,51.67,706.50 백만*,1.30 십억,-2.33%,-3.66%,-33.96%
91,MOAC,MOAC,36.50 십억,584.28,62.46 백만*,63.74 백만,-0.70%,-18.05%,-30.88%
92,Polymath,POLY,36.26 십억,126.38,286.89 백만*,2.48 십억,-2.08%,-6.32%,-15.60%
93,Bancor,BNT,35.88 십억,587.85,61.03 백만*,1.29 십억,-2.61%,-4.93%,-22.95%
94,PIVX,PIVX,35.82 십억,630.77,56.78 백만*,234.72 백만,-1.11%,-6.52%,-25.59%
95,Centrality,CENNZ,35.80 십억,44.67,801.38 백만*,50.12 백만,0.00%,0.47%,-15.93%
96,Aion,AION,35.25 십억,132.89,265.29 백만,1.11 십억,-2.41%,-7.11%,-24.69%
97,Crypto.com,MCO,35.05 십억,2219.17,15.79 백만*,6.93 십억,-0.60%,-0.98%,-19.33%
98,aelf,ELF,34.86 십억,124.51,280.00 백만*,3.60 십억,-2.65%,-8.97%,-13.50%
99,GXChain,GXS,34.11 십억,568.46,60.00 백만*,16.34 십억,-0.95%,-2.65%,-26.60%
100,Loopring,LRC,32.44 십억,41.12,788.98 백만*,330.42 백만,0.46%,-1.02%,-16.47%
101,Nxt,NXT,32.33 십억,32.36,999.00 백만*,506.38 백만,-1.65%,-3.46%,-15.47%
102,Mixin,XIN,32.13 십억,72223.18,444.82 천*,1.80 백만,-2.28%,-5.46%,-17.97%
103,HyperCash,HC,31.90 십억,732.72,43.53 백만,71.52 십억,1.16%,3.18%,-26.35%
104,Loom Network,LOOM,31.85 십억,52.57,605.84 백만*,2.57 십억,-2.01%,-3.08%,-11.42%
105,Endor Protocol,EDR,31.56 십억,46.02,685.81 백만*,959.50 백만,-3.20%,6.12%,0.11%
106,Zcoin,XZC,31.34 십억,5443.44,5.76 백만,551.60 백만,-1.84%,-9.04%,-25.48%
107,MonaCoin,MONA,31.06 십억,483.17,64.28 백만,906.15 백만,-4.96%,-12.28%,-32.79%
108,DigixDAO,DGD,30.83 십억,15412.62,2.00 백만*,104.90 백만,-2.08%,-4.55%,-20.70%
109,Horizen,ZEN,29.10 십억,5445.38,5.34 백만,456.16 백만,-2.68%,-0.74%,-21.92%
110,Power Ledger,POWR,29.10 십억,74.35,391.38 백만*,696.71 백만,-1.99%,-6.13%,-26.72%
111,Veritaseum,VERI,28.89 십억,14182.67,2.04 백만*,1.68 십억,-3.55%,9.72%,-18.47%
112,Dentacoin,DCN,28.87 십억,0.088332,326.82 십억*,7.66 백만,-1.87%,2.35%,-19.24%
113,ProximaX,XPX,28.50 십억,4.67,6.10 십억*,1.30 십억,-2.34%,-6.34%,-4.39%
114,Nebulas,NAS,28.36 십억,623.22,45.50 백만*,5.56 십억,-2.08%,-5.56%,-21.79%
115,Digitex Futures,DGTX,28.31 십억,38.71,731.25 백만*,317.68 백만,-1.70%,-7.04%,-21.61%
116,XYO Network,XYO,27.99 십억,5.05,5.54 십억*,87.21 백만,-2.93%,-3.18%,10.85%
117,Kin,KIN,27.62 십억,0.036531,756.10 십억*,569.16 백만,-1.09%,7.57%,2.42%
118,Byteball Bytes,GBYTE,27.22 십억,40091.73,679.01 천*,47.56 백만,2.32%,16.12%,12.51%
119,WaykiChain,WICC,26.53 십억,126.35,210.00 백만*,652.49 백만,-2.48%,-4.77%,-3.94%
120,Nectar,NEC,26.40 십억,320.52,82.35 백만*,11.02 백만,-0.97%,5.73%,-5.42%
121,SmartCash,SMART,25.80 십억,24.48,1.05 십억,512.98 백만,3.88%,24.21%,20.47%
122,Nasdacoin,NSD,25.09 십억,1330.57,18.86 백만,144.57 백만,-2.26%,-2.36%,-20.12%
123,Enjin Coin,ENJ,24.64 십억,32.37,761.16 백만*,3.11 십억,-3.27%,0.15%,1.57%
124,Dropil,DROP,24.46 십억,1.11,22.01 십억*,296.44 백만,-5.47%,-8.11%,-22.98%
125,FunFair,FUN,24.34 십억,4.37,5.57 십억*,719.03 백만,-1.30%,-10.48%,-19.83%
126,BHPCash,BHPC,24.10 십억,714,33.75 백만*,5.80 십억,-2.07%,1.81%,-9.46%
127,Smartlands,SLT,23.55 십억,4616.44,5.10 백만*,1.08 십억,-3.10%,-7.51%,-27.75%
128,Credo,CREDO,23.45 십억,42.64,549.89 백만*,2.62 백만,-2.99%,6.58%,-9.34%
129,BOScoin,BOS,23.44 십억,51.3,456.84 백만*,49.01 백만,-1.71%,-8.93%,-31.99%
130,SIRIN LABS Token,SRN,23.37 십억,47.52,491.82 백만*,1.49 십억,-3.99%,-11.28%,-42.50%
131,Gold Bits Coin,GBC,23.00 십억,217.01,105.97 백만*,20.01 백만,-1.69%,-0.67%,-37.14%
132,CyberMiles,CMT,22.72 십억,28.41,800.00 백만*,834.61 백만,-2.66%,-7.79%,-37.96%
133,Eidoo,EDO,22.33 십억,763.02,29.26 백만*,116.84 백만,-0.78%,-2.28%,-13.74%
134,Enigma,ENG,21.71 십억,290.06,74.84 백만 *,339.98 백만,-1.83%,-2.40%,-15.87%
135,SingularityNET,AGI,21.53 십억,39.89,539.67 백만*,220.87 백만,-2.72%,-5.47%,-22.58%
136,Spectre.ai Di...,SXDT,21.40 십억,260.76,82.07 백만*,1.89 백만,-2.98%,33.51%,10.33%
137,Civic,CVC,20.97 십억,61.18,342.70 백만*,910.79 백만,-1.87%,-7.48%,-13.99%
138,Kyber Network,KNC,20.09 십억,149.76,134.13 백만*,1.20 십억,-1.74%,-2.84%,-26.81%
139,Maximine Coin,MXM,20.07 십억,12.32,1.63 십억*,965.61 백만,-1.18%,-2.09%,-2.66%
140,Gas,GAS,20.05 십억,1979.92,10.13 백만*,245.35 백만,-2.02%,-6.06%,-24.97%
141,Fusion,FSN,19.92 십억,670.6,29.70 백만*,503.55 백만,-2.90%,-7.35%,-10.75%
142,Bibox Token,BIX,19.89 십억,194.27,102.38 백만*,909.17 백만,-1.96%,-4.00%,-18.33%
143,Storj,STORJ,19.89 십억,146.48,135.79 백만*,702.10 백만,-3.41%,-3.86%,-23.28%
144,SALT,SALT,19.40 십억,239.12,81.15 백만*,1.09 십억,-2.50%,-3.23%,-12.67%
145,Syscoin,SYS,19.40 십억,35.61,544.80 백만,105.04 백만,-1.81%,-6.50%,-24.25%
146,Iconomi,ICN,19.29 십억,194.94,98.93 백만*,5.24 백만,11.39%,8.71%,-2.34%
147,Dragonchain,DRGN,19.22 십억,80.63,238.42 백만*,286.04 백만,-3.30%,-8.59%,-34.78%
148,Substratum,SUB,18.70 십억,48.81,383.02 백만*,50.78 백만,-2.05%,-6.66%,-9.18%
149,Bread,BRD,18.50 십억,208.49,88.73 백만*,59.11 백만,-2.11%,-6.98%,-24.09%
150,Dynamic Tradi...,DTR,18.17 십억,14.92,1.22 십억*,590.55 천,-1.68%,-3.25%,-14.37%
151,Cortex,CTXC,17.71 십억,118.24,149.79 백만*,1.94 십억,-2.04%,-2.80%,-17.00%
152,Nuls,NULS,17.65 십억,441.29,40.00 백만*,8.14 십억,-2.00%,-4.77%,-22.98%
153,Dent,DENT,17.43 십억,1.01,17.24 십억*,301.41 백만,-3.01%,-6.25%,-23.16%
154,Request Network,REQ,17.42 십억,23.88,729.66 백만*,541.65 백만,-2.31%,-0.24%,-14.92%
155,Groestlcoin,GRS,17.39 십억,243.35,71.48 백만,464.01 백만,-2.25%,-6.75%,-26.98%
156,Tokenomy,TEN,17.11 십억,85.54,200.00 백만*,462.13 백만,-2.18%,-4.30%,-11.73%
157,GoChain,GO,17.03 십억,26.04,654.18 백만*,787.57 백만,-3.53%,-7.65%,-30.32%
158,PumaPay,PMA,16.97 십억,0.813951,20.85 십억*,987.91 백만,-1.69%,-2.94%,-35.22%
159,Darico Ecosys...,DEC,16.87 십억,327.28,51.54 백만*,139.13 백만,1.46%,35.35%,58.64%
160,Unobtanium,UNO,16.48 십억,82526.47,199.64 천,2.23 백만,-1.58%,-3.41%,22.71%
161,Genesis Vision,GVT,16.41 십억,3706.1,4.43 백만*,500.35 백만,-3.52%,-8.06%,-27.26%
162,PRIZM,PZM,16.27 십억,237.42,68.53 백만*,37.88 백만,0.76%,1.40%,0.86%
163,Nexus,NXS,16.16 십억,270.72,59.71 백만,176.15 백만,-2.12%,-6.13%,-14.73%
164,Optimal Shelf...,OSA,16.05 십억,50.39,318.57 백만*,1.55 십억,-2.85%,2.14%,-7.51%
165,Particl,PART,15.69 십억,1944.66,8.07 백만*,175.25 백만,-1.89%,3.66%,-27.55%
166,iExec RLC,RLC,15.67 십억,195.74,80.07 백만*,156.90 백만,-2.34%,-4.63%,-21.31%
167,Energi,NRG,15.67 십억,1452.39,10.79 백만,9.88 백만,-1.68%,-6.81%,2.45%
168,Peercoin,PPC,15.67 십억,624.54,25.09 백만,269.90 백만,-4.21%,-5.52%,-23.18%
169,Cindicator,CND,15.49 십억,10.71,1.45 십억*,66.00 백만,-2.54%,-4.96%,-19.86%
170,THEKEY,TKY,15.42 십억,3.05,5.06 십억*,113.52 백만,-2.00%,-8.99%,-37.07%
171,ETERNAL TOKEN,XET,15.27 십억,224.77,67.93 백만*,126.58 백만,-2.18%,1.86%,-26.13%
172,Republic Prot...,REN,15.19 십억,24.42,621.94 백만*,1.75 십억,-4.15%,-12.38%,11.03%
173,Odyssey,OCN,15.13 십억,3.19,4.75 십억*,1.64 십억,-1.39%,-3.94%,-23.25%
174,Credits,CS,14.96 십억,98.11,152.43 백만*,1.19 십억,-3.82%,-6.59%,-18.26%
175,APIS,APIS,14.91 십억,3.06,4.87 십억*,2.76 십억,-1.68%,-1.98%,-23.63%
176,Telcoin,TEL,14.83 십억,0.424963,34.90 십억*,28.23 백만,-2.19%,-4.99%,-15.75%
177,Emercoin,EMC,14.69 십억,348.75,42.12 백만,94.39 백만,-1.54%,-3.88%,-13.58%
178,Quant,QNT,14.67 십억,1499.98,9.78 백만*,797.33 백만,-2.72%,-7.59%,-2.69%
179,Mainframe,MFT,14.53 십억,3.28,4.43 십억*,654.43 백만,-1.69%,-7.57%,-25.54%
180,Aragon,ANT,14.51 십억,498.75,29.10 백만*,143.75 백만,-2.02%,-4.66%,0.25%
181,Gnosis,GNO,14.41 십억,13044.41,1.10 백만*,570.08 백만,-0.93%,-15.62%,-7.79%
182,Moeda Loyalty...,MDA,14.30 십억,728.53,19.63 백만*,4.47 십억,-2.46%,-0.39%,-18.17%
183,Neblio,NEBL,13.99 십억,1011.95,13.82 백만*,105.27 백만,-3.07%,-7.99%,-16.85%
184,Neumark,NEU,13.92 십억,305.86,45.51 백만*,725.73 천,3.41%,-6.52%,1.74%
185,TokenPay,TPAY,13.92 십억,886.02,15.71 백만*,216.63 백만,-1.54%,-2.95%,-10.08%
186,Storm,STORM,13.85 십억,3.06,4.52 십억*,562.34 백만,-3.79%,-9.08%,-31.70%
187,OneRoot Network,RNT,13.82 십억,55.8,247.73 백만*,147.48 백만,2.36%,-0.32%,-2.05%
188,BnkToTheFuture,BFT,13.82 십억,21.94,629.99 백만*,167.22 백만,-4.76%,-2.30%,-0.85%
189,Vitae,VITAE,13.61 십억,1286.48,10.58 백만,10.03 백만,0.68%,-4.40%,-15.80%
190,Wagerr,WGR,13.61 십억,74.37,183.00 백만*,10.91 백만,-1.72%,-3.08%,-9.40%
191,STACS,STACS,13.57 십억,28.26,480.20 백만*,317.74 백만,-2.74%,10.76%,10.95%
192,Burst,BURST,13.54 십억,6.75,2.01 십억,68.17 백만,-1.56%,5.42%,-7.01%
193,RChain,RHOC,13.51 십억,36.14,373.79 백만*,193.43 백만,-1.95%,-6.11%,-26.16%
194,Santiment Net...,SAN,13.49 십억,215.22,62.66 백만*,332.95 백만,-2.78%,-6.92%,-22.17%
195,CRYPTO20,C20,13.24 십억,329.19,40.21 백만*,2.01 백만,-2.58%,-4.61%,-22.80%
196,Bezant,BZNT,13.17 십억,26.24,502.01 백만*,1.05 십억,-0.82%,-7.12%,-30.16%
197,Noah Coin,NOAH,13.09 십억,0.400448,32.69 십억*,190.69 백만,-1.60%,-3.88%,-22.62%
198,Ignis,IGNIS,13.05 십억,17.14,761.14 백만*,58.34 백만,-0.97%,-7.59%,-27.66%
199,Gifto,GTO,12.75 십억,23.98,531.82 백만*,4.35 십억,-2.91%,-5.46%,-28.93%
200,Po.et,POE,12.75 십억,5.27,2.42 십억*,377.72 백만,-2.96%,-7.66%,-18.04%
201,DMarket,DMT,12.73 십억,253.46,50.22 백만*,2.61 십억,-3.22%,-2.05%,-13.13%
202,Everipedia,IQ,12.70 십억,2.82,4.51 십억*,245.57 백만,1.11%,-3.49%,-29.71%
203,Scry.info,DDD,12.52 십억,28.46,440.06 백만*,421.95 백만,-2.77%,-5.47%,-9.10%
204,OST,OST,12.35 십억,27.11,455.38 백만*,1.45 십억,-2.15%,-0.38%,-15.34%
205,Streamr DATAcoin,DATA,12.27 십억,18.12,677.15 백만*,367.00 백만,-1.51%,-5.08%,-21.89%
206,TokenClub,TCT,12.26 십억,25.47,481.43 백만*,144.49 백만,0.38%,-1.25%,0.13%
207,IoTeX,IOTX,12.10 십억,7.93,1.53 십억*,1.07 십억,-2.36%,-5.88%,-24.23%
208,Cube,AUTO,11.91 십억,1.76,6.77 십억*,449.68 백만,-2.10%,-0.21%,-18.70%
209,Vertcoin,VTC,11.91 십억,252.06,47.24 백만,103.29 백만,-3.64%,-7.14%,-28.52%
210,Ubiq,UBQ,11.84 십억,277.82,42.61 백만,59.13 백만,-3.20%,-2.48%,-3.64%
211,Matrix AI Net...,MAN,11.72 십억,78.13,150.00 백만*,556.80 백만,-2.52%,0.06%,-33.56%
212,Einsteinium,EMC2,11.61 십억,53.23,218.04 백만,127.78 백만,-1.67%,-5.67%,-30.98%
213,Pillar,PLR,11.48 십억,44.28,259.35 백만*,4.99 백만,-2.61%,-7.91%,-30.92%
214,TrueChain,TRUE,11.37 십억,244.82,46.45 백만*,14.39 십억,-3.73%,-2.89%,-15.50%
215,Gulden,NLG,11.23 십억,27.07,415.03 백만,64.77 백만,-0.68%,2.09%,-0.01%
216,BridgeCoin,BCO,10.97 십억,406.19,27.00 백만*,10.40 백만,-7.53%,-5.84%,-11.99%
217,ARBITRAGE,ARB,10.96 십억,2514.51,4.36 백만*,15.54 백만,-2.88%,-6.23%,-29.14%
218,WhiteCoin,XWC,10.84 십억,43.31,250.18 백만*,153.91 백만,-2.07%,-6.13%,-9.90%
219,Bluzelle,BLZ,10.76 십억,55.07,195.29 백만*,1.67 십억,-4.29%,-3.47%,-14.75%
220,Raiden Networ...,RDN,10.74 십억,213.84,50.22 백만*,516.54 백만,-6.07%,-7.55%,-27.40%
221,Moss Coin,MOC,10.71 십억,47.55,225.15 백만*,100.73 백만,0.01%,-1.61%,-2.56%
222,Safe Exchange...,SAFEX,10.65 십억,6.9,1.54 십억*,1.63 백만,-2.77%,-6.87%,-17.54%
223,bitCNY,BITCNY,10.61 십억,167.71,63.24 백만*,22.17 십억,-0.72%,-2.20%,-0.82%
224,UTRUST,UTK,10.57 십억,23.48,450.00 백만*,98.66 백만,-1.81%,-6.20%,-16.26%
225,SaluS,SLS,10.42 십억,10300.95,1.01 백만*,10.62 백만,-0.83%,-8.92%,-14.92%
226,Nucleus Vision,NCASH,10.39 십억,1.88,5.52 십억*,449.05 백만,-2.32%,-7.22%,-23.71%
227,Timicoin,TMC,10.21 십억,33.18,307.89 백만*,108.25 백만,-1.70%,61.57%,49.71%
228,Blocknet,BLOCK,10.14 십억,1853.07,5.47 백만*,20.82 백만,-1.63%,-7.45%,-10.44%
229,TomoChain,TOMO,10.10 십억,183.71,55.00 백만*,417.84 백만,-4.67%,1.98%,-27.23%
230,High Performa...,HPB,10.06 십억,264.55,38.02 백만*,1.55 십억,-1.92%,-6.49%,-22.64%
231,Skycoin,SKY,10.02 십억,1002.47,10.00 백만*,279.87 백만,-2.16%,-5.44%,-28.56%
232,Breezecoin,BRZC,9.77 십억,248.83,39.28 백만*,1.89 백만,-1.73%,-4.94%,-9.45%
233,Jibrel Network,JNT,9.77 십억,57.78,169.10 백만*,31.29 백만,-1.93%,-2.25%,-16.80%
234,AMO Coin,AMO,9.68 십억,1.08,8.97 십억*,109.78 백만,-3.18%,-12.64%,-34.12%
235,Quantum Resis...,QRL,9.66 십억,185.73,52.00 백만*,26.04 백만,0.98%,-0.33%,-20.68%
236,BLOCKv,VEE,9.56 십억,4.09,2.33 십억*,36.57 백만,0.72%,3.82%,-9.77%
237,SmartMesh,SMT,9.44 십억,6.68,1.41 십억*,29.11 백만,-2.78%,-4.51%,-17.21%
238,MediBloc [ERC20],MEDX,9.40 십억,2.96,3.17 십억*,836.53 백만,-3.95%,-7.12%,-27.46%
239,Quantstamp,QSP,9.40 십억,15.23,617.31 백만*,55.27 백만,-2.19%,-5.64%,-21.37%
240,E-Dinar Coin,EDR,9.35 십억,10.55,886.21 백만,1.29 십억,-0.99%,-2.27%,-14.58%
241,district0x,DNT,9.31 십억,15.52,600.00 백만*,2.67 십억,-2.17%,-13.55%,12.32%
242,Own,CHX,9.29 십억,128.03,72.55 백만*,249.08 백만,11.41%,36.37%,-8.71%
243,Cryptaur,CPT,9.17 십억,1.25,7.35 십억*,23.14 백만,-2.13%,-6.23%,-17.37%
244,DigitalNote,XDN,9.13 십억,1.32,6.93 십억,143.71 백만,0.03%,-3.98%,-19.95%
245,BOX Token,BOX,9.01 십억,118.41,76.12 백만*,1.94 십억,0.26%,-9.04%,-31.21%
246,NavCoin,NAV,8.96 십억,140.62,63.74 백만*,111.64 백만,-2.27%,-4.94%,-26.84%
247,Ambrosus,AMB,8.86 십억,61.28,144.59 백만*,162.14 백만,-4.04%,-6.79%,-30.33%
248,LEOcoin,LEO,8.86 십억,87.06,101.74 백만*,1.48 십억,-0.55%,0.44%,-15.01%
